split,delay_min,condition,condition_value,events,positive_rate_120m,avg_120m_r,median_120m_r,trimmed_mean_120m_r
DEV,60,made_new_high_before_entry,True,346,0.44508670520231214,-0.005794120922748981,-0.13814558269534455,-0.08091122662819654
DEV,60,made_new_high_before_entry,False,61,0.5573770491803278,0.40571526641367744,0.22101939557961248,0.32458574874985047
DEV,60,failed_breakout_recovered,True,66,0.45454545454545453,0.13789625969201066,-0.09045237489757793,0.0791846754613098
DEV,60,failed_breakout_recovered,False,341,0.4633431085043988,0.04000795387768466,-0.06504065040651874,-0.03408516599971544
VALIDATION,5,stayed_above_or_high,True,108,0.5648148148148148,0.23676684129060102,0.18626492278857312,0.1693136335480739
VALIDATION,5,stayed_above_or_high,False,27,0.37037037037037035,-0.22963958693874661,-0.5147611379495528,-0.4013395521552364
VALIDATION,5,pulled_back_to_or_high,True,48,0.5833333333333334,0.3949719007786146,0.2531765014326662,0.28040874592894705
VALIDATION,5,pulled_back_to_or_high,False,87,0.4942528735632184,0.004734468674313214,0.0,-0.07048806121439809
VALIDATION,5,went_below_vwap,True,7,0.14285714285714285,-1.197691205164923,-1.6245110821382052,-1.1976912051649227
VALIDATION,5,went_below_vwap,False,128,0.546875,0.21683115975150952,0.08720975082929203,0.1358436575681166
VALIDATION,5,made_new_high_before_entry,True,82,0.6219512195121951,0.5086351680411574,0.30465587044534287,0.4394451287450541
VALIDATION,5,made_new_high_before_entry,False,53,0.37735849056603776,-0.42146290127049346,-0.6850152905198749,-0.5888094709465233
VALIDATION,5,failed_breakout_recovered,False,135,0.5259259259259259,0.14348555564473153,0.047646057855932226,0.055080305922675564
VALIDATION,15,stayed_above_or_high,True,95,0.47368421052631576,0.1901469633258434,-0.06225995552859805,0.08581202263009179
VALIDATION,15,stayed_above_or_high,False,40,0.425,-0.1976813057586469,-0.2296336796063472,-0.2648867017247213
VALIDATION,15,pulled_back_to_or_high,True,49,0.5102040816326531,0.2922716200326002,0.16779026217228463,0.18531628906256647
VALIDATION,15,pulled_back_to_or_high,False,86,0.43023255813953487,-0.04842558251149031,-0.2152298452755302,-0.13772768452949782
VALIDATION,15,went_below_vwap,True,15,0.4,-0.2559067145978117,-0.07962085308055683,-0.28078452006418925
VALIDATION,15,went_below_vwap,False,120,0.4666666666666667,0.11662758337147021,-0.07924994627122259,0.015772741007338126
VALIDATION,15,made_new_high_before_entry,True,98,0.46938775510204084,0.18041703222876077,-0.07768921441906607,0.10438248661927141
VALIDATION,15,made_new_high_before_entry,False,37,0.43243243243243246,-0.20335567223808948,-0.3010752688172153,-0.33577949355400377
VALIDATION,15,failed_breakout_recovered,True,14,0.5714285714285714,0.14580282913585108,0.1373396584379737,0.13040864740639405
VALIDATION,15,failed_breakout_recovered,False,121,0.4462809917355372,0.06706999733642424,-0.09917355371899318,-0.04249452636688234
VALIDATION,30,stayed_above_or_high,True,80,0.5375,0.13278964587570527,0.1455823293172721,0.059078297417573214
VALIDATION,30,stayed_above_or_high,False,50,0.42,-0.3430682189653217,-0.3498535652381695,-0.3064354488071627
VALIDATION,30,pulled_back_to_or_high,True,42,0.5476190476190477,0.06444339740139225,0.1455823293172721,-0.00468850530568918
VALIDATION,30,pulled_back_to_or_high,False,88,0.4659090909090909,-0.10496434055759246,0.0,-0.1215242792066622
VALIDATION,30,went_below_vwap,True,28,0.39285714285714285,-0.6152410498700209,-0.4832653461878812,-0.4998467713384285
VALIDATION,30,went_below_vwap,False,102,0.5196078431372549,0.10486774625638155,0.1455823293172721,0.028237990896124537
VALIDATION,30,made_new_high_before_entry,True,105,0.5142857142857142,0.05340374242611834,0.13654618473895888,-0.0021649082624151787
VALIDATION,30,made_new_high_before_entry,False,25,0.4,-0.48550528931808346,-0.19012345679012346,-0.3841533111670576
VALIDATION,30,failed_breakout_recovered,True,25,0.52,0.08445424099450366,0.19551635428151373,0.025434196721108703
VALIDATION,30,failed_breakout_recovered,False,105,0.4857142857142857,-0.08230090764830718,0.0,-0.1084201706113954
VALIDATION,60,stayed_above_or_high,True,69,0.5072463768115942,0.14075837976183875,0.026762246117090823,0.068576559555973
VALIDATION,60,stayed_above_or_high,False,58,0.43103448275862066,-0.24416019729626137,-0.0639752306945107,-0.1659318148473986
VALIDATION,60,pulled_back_to_or_high,True,30,0.5666666666666667,0.19254709926823896,0.16610740846746938,0.15597994617106462
VALIDATION,60,pulled_back_to_or_high,False,97,0.44329896907216493,-0.10541624966663354,-0.06034482758619792,-0.10286155014004915
VALIDATION,60,went_below_vwap,True,44,0.3409090909090909,-0.46577642763284055,-0.3523155013117439,-0.3844999720573974
VALIDATION,60,went_below_vwap,False,83,0.5421686746987951,0.19331565754492402,0.10408921933087878,0.12929918998183168
VALIDATION,60,made_new_high_before_entry,True,107,0.5046728971962616,0.07424475612873166,0.026762246117090823,0.026677881064225376
VALIDATION,60,made_new_high_before_entry,False,20,0.3,-0.6196576072695282,-0.3626486613395523,-0.48348935250505537
VALIDATION,60,failed_breakout_recovered,True,25,0.6,0.11470665551503073,0.18122977346278318,0.11958028369286397
VALIDATION,60,failed_breakout_recovered,False,102,0.4411764705882353,-0.07173166301462797,-0.10993166558818823,-0.08778638439660198
