split,snapshot_time,score_family,top_k,horizon_min,paired_sessions,leader_session_avg_atr,bottom_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,10:00,FULL_4,3,60,439,0.0379201996215818,0.0031655096670314,0.034754689954550395,-0.05978355507422871,0.13348826285084464,0.5125284738041003
DEV,10:00,FULL_4,3,120,439,0.05664247368691834,0.007521271547915185,0.04912120213900314,-0.06261273059819876,0.1797850975530166,0.5079726651480638
DEV,10:00,FULL_4,5,60,439,0.05079579213345642,0.0031655096670314,0.04763028246642501,-0.03633091279746845,0.13163242864922967,0.510250569476082
DEV,10:00,FULL_4,5,120,439,0.054999014909245324,0.007521271547915185,0.04747774336133013,-0.06567494970917824,0.15530946797133285,0.49430523917995445
DEV,10:30,MOMENTUM_ONLY,1,60,447,0.11969363049105158,0.046478547821002136,0.07321508267004942,-0.08452641098312018,0.21454052640521853,0.49217002237136465
DEV,10:30,MOMENTUM_ONLY,1,120,447,-0.028488944438064226,0.018613190529872918,-0.04710213496793717,-0.23591614868959476,0.13364522635151962,0.4809843400447427
DEV,10:30,MOMENTUM_ONLY,3,60,449,0.07471906711423103,0.04771094768901402,0.027008119425217008,-0.07479087017605617,0.1359789048502052,0.46325167037861914
DEV,10:30,MOMENTUM_ONLY,3,120,449,0.033627062306877724,0.014918390720556882,0.018708671586320842,-0.1139984915077995,0.15690380055589506,0.47438752783964366
DEV,10:30,MOMENTUM_ONLY,5,60,449,0.10422241179537754,0.04771094768901402,0.05651146410636352,-0.029870191723718794,0.14791843447788522,0.48329621380846327
DEV,10:30,MOMENTUM_ONLY,5,120,449,0.08856475133597376,0.014918390720556882,0.07364636061541686,-0.05321240074757207,0.18503435735216442,0.49888641425389757
DEV,10:30,MOMENTUM_VOLUME,1,60,439,0.079781472277757,0.043425593109418424,0.03635587916833855,-0.11639236027732154,0.18858935330255008,0.48519362186788156
DEV,10:30,MOMENTUM_VOLUME,1,120,439,0.03298737787604585,0.008856300232888326,0.024131077643157528,-0.1736814569650583,0.23381004906836164,0.48519362186788156
DEV,10:30,MOMENTUM_VOLUME,3,60,439,0.08939475487947308,0.043425593109418424,0.04596916177005464,-0.06447606881643396,0.15048641195437953,0.4874715261958998
DEV,10:30,MOMENTUM_VOLUME,3,120,439,0.11778809407940456,0.008856300232888326,0.10893179384651623,-0.030978776354398052,0.2566097230965637,0.5148063781321185
DEV,10:30,MOMENTUM_VOLUME,5,60,439,0.11601015089481248,0.043425593109418424,0.07258455778539406,-0.025508515575023184,0.1696460608547851,0.489749430523918
DEV,10:30,MOMENTUM_VOLUME,5,120,439,0.09791638447543075,0.008856300232888326,0.08906008424254241,-0.03904087945333826,0.21709120002615112,0.5034168564920274
DEV,10:30,QUALITY_3,1,60,439,0.11817763654753649,0.04309137144446791,0.07508626510306862,-0.08942955552889642,0.23983598880367057,0.5079726651480638
DEV,10:30,QUALITY_3,1,120,439,0.0020964652211986935,0.009276145451439339,-0.0071796802302406615,-0.2175953011658863,0.21605647714315288,0.45785876993166286
DEV,10:30,QUALITY_3,3,60,439,0.1328129355150057,0.04309137144446791,0.0897215640705378,-0.023268227220245963,0.20031672151638652,0.49430523917995445
DEV,10:30,QUALITY_3,3,120,439,0.13093986753875858,0.009276145451439339,0.12166372208731921,-0.020634745073513934,0.27129133934417715,0.5239179954441914
DEV,10:30,QUALITY_3,5,60,439,0.13838963462600282,0.04309137144446791,0.09529826318153489,-0.0032399581790006978,0.20438298115431236,0.4988610478359909
DEV,10:30,QUALITY_3,5,120,439,0.12346516319442262,0.009276145451439339,0.11418901774298326,-0.011572457532067575,0.23810474633445122,0.5011389521640092
DEV,10:30,FULL_4,1,60,439,0.07991713073393654,0.04701593536213786,0.03290119537179868,-0.12023440908158715,0.193350012032232,0.4760820045558087
DEV,10:30,FULL_4,1,120,439,0.14659071320006675,0.01890613290953035,0.1276845802905364,-0.079514830617486,0.351640459894861,0.4646924829157175
DEV,10:30,FULL_4,3,60,439,0.11867195129780486,0.04701593536213786,0.07165601593566698,-0.03495445443643369,0.18086720497195197,0.4920273348519362
