split,snapshot_time,score_family,top_k,horizon_min,future_winners,selected_events,winners_captured,winner_capture_rate,precision
VALIDATION,10:00,MOMENTUM_VOLUME,3,60,659,375,31,0.04704097116843703,0.08266666666666667
VALIDATION,10:00,MOMENTUM_VOLUME,5,60,659,625,45,0.06828528072837632,0.072
VALIDATION,10:00,QUALITY_3,1,60,659,125,11,0.01669195751138088,0.088
VALIDATION,10:00,QUALITY_3,3,60,659,375,25,0.03793626707132018,0.06666666666666667
VALIDATION,10:00,QUALITY_3,5,60,659,625,44,0.06676783004552352,0.0704
VALIDATION,10:00,FULL_4,1,60,659,125,7,0.010622154779969651,0.056
VALIDATION,10:00,FULL_4,3,60,659,375,28,0.042488619119878605,0.07466666666666667
VALIDATION,10:00,FULL_4,5,60,659,625,42,0.0637329286798179,0.0672
VALIDATION,10:00,MOMENTUM_ONLY,1,120,659,124,3,0.004552352048558422,0.024193548387096774
VALIDATION,10:00,MOMENTUM_ONLY,3,120,659,374,25,0.03793626707132018,0.06684491978609626
VALIDATION,10:00,MOMENTUM_ONLY,5,120,659,624,42,0.0637329286798179,0.0673076923076923
VALIDATION,10:00,MOMENTUM_VOLUME,1,120,659,125,5,0.007587253414264037,0.04
VALIDATION,10:00,MOMENTUM_VOLUME,3,120,659,375,22,0.03338391502276176,0.058666666666666666
VALIDATION,10:00,MOMENTUM_VOLUME,5,120,659,625,39,0.05918057663125948,0.0624
VALIDATION,10:00,QUALITY_3,1,120,659,125,7,0.010622154779969651,0.056
VALIDATION,10:00,QUALITY_3,3,120,659,375,24,0.036418816388467376,0.064
VALIDATION,10:00,QUALITY_3,5,120,659,625,41,0.0622154779969651,0.0656
VALIDATION,10:00,FULL_4,1,120,659,125,5,0.007587253414264037,0.04
VALIDATION,10:00,FULL_4,3,120,659,375,24,0.036418816388467376,0.064
VALIDATION,10:00,FULL_4,5,120,659,625,42,0.0637329286798179,0.0672
VALIDATION,10:30,MOMENTUM_ONLY,1,60,659,124,7,0.010622154779969651,0.056451612903225805
VALIDATION,10:30,MOMENTUM_ONLY,3,60,659,374,23,0.03490136570561457,0.06149732620320856
VALIDATION,10:30,MOMENTUM_ONLY,5,60,659,624,33,0.05007587253414264,0.052884615384615384
VALIDATION,10:30,MOMENTUM_VOLUME,1,60,659,125,9,0.013657056145675266,0.072
VALIDATION,10:30,MOMENTUM_VOLUME,3,60,659,375,21,0.03186646433990895,0.056
VALIDATION,10:30,MOMENTUM_VOLUME,5,60,659,625,36,0.054628224582701064,0.0576
VALIDATION,10:30,QUALITY_3,1,60,659,125,9,0.013657056145675266,0.072
VALIDATION,10:30,QUALITY_3,3,60,659,375,26,0.03945371775417299,0.06933333333333333
VALIDATION,10:30,QUALITY_3,5,60,659,625,37,0.05614567526555387,0.0592
VALIDATION,10:30,FULL_4,1,60,659,125,4,0.006069802731411229,0.032
VALIDATION,10:30,FULL_4,3,60,659,375,29,0.04400606980273141,0.07733333333333334
VALIDATION,10:30,FULL_4,5,60,659,625,43,0.06525037936267071,0.0688
VALIDATION,10:30,MOMENTUM_ONLY,1,120,659,124,5,0.007587253414264037,0.04032258064516129
VALIDATION,10:30,MOMENTUM_ONLY,3,120,659,374,18,0.027314112291350532,0.0481283422459893
VALIDATION,10:30,MOMENTUM_ONLY,5,120,659,624,32,0.048558421851289835,0.05128205128205128
VALIDATION,10:30,MOMENTUM_VOLUME,1,120,659,125,8,0.012139605462822459,0.064
VALIDATION,10:30,MOMENTUM_VOLUME,3,120,659,375,20,0.030349013657056147,0.05333333333333334
VALIDATION,10:30,MOMENTUM_VOLUME,5,120,659,625,38,0.057663125948406675,0.0608
VALIDATION,10:30,QUALITY_3,1,120,659,125,8,0.012139605462822459,0.064
VALIDATION,10:30,QUALITY_3,3,120,659,375,26,0.03945371775417299,0.06933333333333333
VALIDATION,10:30,QUALITY_3,5,120,659,625,37,0.05614567526555387,0.0592
VALIDATION,10:30,FULL_4,1,120,659,125,6,0.009104704097116844,0.048
VALIDATION,10:30,FULL_4,3,120,659,375,28,0.042488619119878605,0.07466666666666667
VALIDATION,10:30,FULL_4,5,120,659,625,37,0.05614567526555387,0.0592
VALIDATION,11:00,MOMENTUM_ONLY,1,60,660,125,8,0.012121212121212121,0.064
VALIDATION,11:00,MOMENTUM_ONLY,3,60,660,375,20,0.030303030303030304,0.05333333333333334
VALIDATION,11:00,MOMENTUM_ONLY,5,60,660,625,33,0.05,0.0528
VALIDATION,11:00,MOMENTUM_VOLUME,1,60,660,125,10,0.015151515151515152,0.08
VALIDATION,11:00,MOMENTUM_VOLUME,3,60,660,375,26,0.03939393939393939,0.06933333333333333
VALIDATION,11:00,MOMENTUM_VOLUME,5,60,660,625,44,0.06666666666666667,0.0704
VALIDATION,11:00,QUALITY_3,1,60,660,125,8,0.012121212121212121,0.064
VALIDATION,11:00,QUALITY_3,3,60,660,375,20,0.030303030303030304,0.05333333333333334
VALIDATION,11:00,QUALITY_3,5,60,660,625,40,0.06060606060606061,0.064
VALIDATION,11:00,FULL_4,1,60,660,125,13,0.019696969696969695,0.104
VALIDATION,11:00,FULL_4,3,60,660,375,33,0.05,0.088
VALIDATION,11:00,FULL_4,5,60,660,625,49,0.07424242424242425,0.0784
VALIDATION,11:00,MOMENTUM_ONLY,1,120,660,125,9,0.013636363636363636,0.072
VALIDATION,11:00,MOMENTUM_ONLY,3,120,660,375,22,0.03333333333333333,0.058666666666666666
VALIDATION,11:00,MOMENTUM_ONLY,5,120,660,625,32,0.048484848484848485,0.0512
VALIDATION,11:00,MOMENTUM_VOLUME,1,120,660,125,9,0.013636363636363636,0.072
VALIDATION,11:00,MOMENTUM_VOLUME,3,120,660,375,26,0.03939393939393939,0.06933333333333333
VALIDATION,11:00,MOMENTUM_VOLUME,5,120,660,625,41,0.06212121212121212,0.0656
VALIDATION,11:00,QUALITY_3,1,120,660,125,8,0.012121212121212121,0.064
VALIDATION,11:00,QUALITY_3,3,120,660,375,20,0.030303030303030304,0.05333333333333334
VALIDATION,11:00,QUALITY_3,5,120,660,625,40,0.06060606060606061,0.064
VALIDATION,11:00,FULL_4,1,120,660,125,14,0.021212121212121213,0.112
VALIDATION,11:00,FULL_4,3,120,660,375,30,0.045454545454545456,0.08
VALIDATION,11:00,FULL_4,5,120,660,625,43,0.06515151515151515,0.0688
VALIDATION,12:00,MOMENTUM_ONLY,1,60,660,125,5,0.007575757575757576,0.04
VALIDATION,12:00,MOMENTUM_ONLY,3,60,660,375,18,0.02727272727272727,0.048
VALIDATION,12:00,MOMENTUM_ONLY,5,60,660,625,34,0.051515151515151514,0.0544
VALIDATION,12:00,MOMENTUM_VOLUME,1,60,660,125,9,0.013636363636363636,0.072
VALIDATION,12:00,MOMENTUM_VOLUME,3,60,660,375,22,0.03333333333333333,0.058666666666666666
VALIDATION,12:00,MOMENTUM_VOLUME,5,60,660,625,39,0.05909090909090909,0.0624
VALIDATION,12:00,QUALITY_3,1,60,660,125,9,0.013636363636363636,0.072
VALIDATION,12:00,QUALITY_3,3,60,660,375,21,0.031818181818181815,0.056
VALIDATION,12:00,QUALITY_3,5,60,660,625,39,0.05909090909090909,0.0624
VALIDATION,12:00,FULL_4,1,60,660,125,11,0.016666666666666666,0.088
VALIDATION,12:00,FULL_4,3,60,660,375,29,0.04393939393939394,0.07733333333333334
VALIDATION,12:00,FULL_4,5,60,660,625,41,0.06212121212121212,0.0656
VALIDATION,12:00,MOMENTUM_ONLY,1,120,660,125,3,0.004545454545454545,0.024
VALIDATION,12:00,MOMENTUM_ONLY,3,120,660,375,17,0.025757575757575757,0.04533333333333334
VALIDATION,12:00,MOMENTUM_ONLY,5,120,660,625,34,0.051515151515151514,0.0544
VALIDATION,12:00,MOMENTUM_VOLUME,1,120,660,125,9,0.013636363636363636,0.072
VALIDATION,12:00,MOMENTUM_VOLUME,3,120,660,375,17,0.025757575757575757,0.04533333333333334
VALIDATION,12:00,MOMENTUM_VOLUME,5,120,660,625,30,0.045454545454545456,0.048
VALIDATION,12:00,QUALITY_3,1,120,660,125,7,0.010606060606060607,0.056
VALIDATION,12:00,QUALITY_3,3,120,660,375,14,0.021212121212121213,0.037333333333333336
VALIDATION,12:00,QUALITY_3,5,120,660,625,29,0.04393939393939394,0.0464
VALIDATION,12:00,FULL_4,1,120,660,125,8,0.012121212121212121,0.064
VALIDATION,12:00,FULL_4,3,120,660,375,24,0.03636363636363636,0.064
VALIDATION,12:00,FULL_4,5,120,660,625,35,0.05303030303030303,0.056
