split,snapshot_time,score_family,top_k,horizon_min,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,10:00,MOMENTUM_VOLUME,3,60,1317,439,0.07360226638215717,-0.020205089251819443,0.4874715261958998,0.07360226638215717,-0.021926654173800426,0.1796617380094225
DEV,10:00,MOMENTUM_VOLUME,3,120,1317,439,0.07260638546895097,-0.06558044806517854,0.4745634016704632,0.07260638546895097,-0.06094746368957746,0.20482631491151718
DEV,10:00,MOMENTUM_VOLUME,5,30,2195,439,0.017359240767444377,-0.059154929577466604,0.4683371298405467,0.017359240767444384,-0.03816082261396641,0.0757311499301077
DEV,10:00,MOMENTUM_VOLUME,5,60,2195,439,0.04460169802021423,-0.04666666666665434,0.47927107061503416,0.04460169802021423,-0.036446941350102464,0.1310610515997043
DEV,10:00,MOMENTUM_VOLUME,5,120,2195,439,0.05269395611957398,-0.07926397735316222,0.4788154897494305,0.05269395611957398,-0.05625065219559345,0.15924891180192094
DEV,10:00,QUALITY_3,1,30,439,439,-0.03478776826682049,-0.12432432432432165,0.44419134396355353,-0.0347877682668205,-0.14712932911914592,0.07523540547110891
DEV,10:00,QUALITY_3,1,60,439,439,-0.001989269326289293,-0.09776536312849145,0.4624145785876993,-0.0019892693262892527,-0.1692655277681199,0.14693307378830647
DEV,10:00,QUALITY_3,1,120,439,439,-0.024911034823090948,-0.11798624972278193,0.4624145785876993,-0.024911034823090965,-0.1978756431689624,0.1617684034429127
DEV,10:00,QUALITY_3,3,30,1317,439,0.023329994152702482,-0.06887298747763283,0.47228549734244496,0.023329994152702475,-0.05001657742715444,0.08801414608713144
DEV,10:00,QUALITY_3,3,60,1317,439,0.06072260060893743,-0.02961082910321501,0.486712224753227,0.06072260060893743,-0.0341950158944112,0.15966359952357898
DEV,10:00,QUALITY_3,3,120,1317,439,0.04854757067429068,-0.10040983606558063,0.4715261958997722,0.04854757067429067,-0.07207233408516665,0.18020036534405212
DEV,10:00,QUALITY_3,5,30,2195,439,0.023345869518810233,-0.060409924487608097,0.4733485193621868,0.02334586951881023,-0.03820296153286838,0.08548112927781107
DEV,10:00,QUALITY_3,5,60,2195,439,0.06503386174896747,-0.02232854864434326,0.4861047835990888,0.06503386174896747,-0.0198835633014248,0.1614453731178043
DEV,10:00,QUALITY_3,5,120,2195,439,0.09223383063283656,-0.07446808510638599,0.48018223234624147,0.09223383063283655,-0.0257484342753984,0.2186787540265996
DEV,10:00,FULL_4,1,30,439,439,0.006312048546428996,-0.10030516120471687,0.46697038724373574,0.006312048546429017,-0.10239790799749583,0.1167186455662812
DEV,10:00,FULL_4,1,60,439,439,0.024637873453152243,-0.04666666666665434,0.47380410022779046,0.024637873453152246,-0.11194045873871794,0.1708824187341545
DEV,10:00,FULL_4,1,120,439,439,0.07710743889250996,-0.1153450051493347,0.4646924829157175,0.07710743889250996,-0.09460970525598839,0.2549990785583705
DEV,10:00,FULL_4,3,30,1317,439,0.004951503966546234,-0.09271523178808877,0.4639331814730448,0.0049515039665462435,-0.06594734399809662,0.07319885264388602
DEV,10:00,FULL_4,3,60,1317,439,0.03792019962158181,-0.08422459893048984,0.46924829157175396,0.0379201996215818,-0.05834848569892795,0.1397867967291388
DEV,10:00,FULL_4,3,120,1317,439,0.05664247368691837,-0.14105793450880877,0.4616552771450266,0.05664247368691834,-0.06389125295711146,0.1858204444626197
DEV,10:00,FULL_4,5,30,2195,439,-0.0035022075357178427,-0.09271523178808877,0.4574031890660592,-0.0035022075357178327,-0.062653105278575,0.058932415239098764
DEV,10:00,FULL_4,5,60,2195,439,0.050795792133456405,-0.044444444444429285,0.4783599088838269,0.05079579213345642,-0.031545920143036206,0.14082216547902687
DEV,10:00,FULL_4,5,120,2195,439,0.054999014909245296,-0.08132780082989022,0.4760820045558087,0.054999014909245324,-0.05369524441253827,0.17146337289302385
DEV,10:30,MOMENTUM_ONLY,1,30,447,447,0.05925333326142709,-0.05303030303032378,0.46308724832214765,0.059253333261427094,-0.04850435417399301,0.16594195503368797
DEV,10:30,MOMENTUM_ONLY,1,60,447,447,0.11969363049105158,0.07641822080706669,0.5190156599552572,0.11969363049105158,-0.017290834333821357,0.26614863980900755
DEV,10:30,MOMENTUM_ONLY,1,120,447,447,-0.028488944438064205,-0.09876543209876035,0.4697986577181208,-0.028488944438064226,-0.20453691736619747,0.16492715143648665
DEV,10:30,MOMENTUM_ONLY,3,30,1344,449,0.06111634247825247,-0.005249896293532487,0.48214285714285715,0.06153643953970644,-0.015436869568717515,0.14144062316353662
DEV,10:30,MOMENTUM_ONLY,3,60,1344,449,0.07469931201486546,-0.010348239801777374,0.4836309523809524,0.07471906711423103,-0.03714359431292505,0.17614397767749307
DEV,10:30,MOMENTUM_ONLY,3,120,1344,449,0.034039209682364034,-0.06905962183007285,0.47693452380952384,0.033627062306877724,-0.10067175892292066,0.17067594138970318
DEV,10:30,MOMENTUM_ONLY,5,30,2242,449,0.05947913931891411,0.0,0.49018733273862625,0.05961478061106622,-0.005832411836630157,0.13202635069796992
DEV,10:30,MOMENTUM_ONLY,5,60,2242,449,0.10434494269430068,0.0,0.4928635147190009,0.10422241179537754,0.013745769195668268,0.19876436072110046
DEV,10:30,MOMENTUM_ONLY,5,120,2242,449,0.08987418769685825,-0.0573891008934459,0.4808206958073149,0.08856475133597376,-0.03566207236412569,0.21209296902352717
DEV,10:30,MOMENTUM_VOLUME,1,30,439,439,0.09509913586041586,0.06345095500160167,0.5148063781321185,0.09509913586041586,-0.013560909229372212,0.21654015564236315
DEV,10:30,MOMENTUM_VOLUME,1,60,439,439,0.079781472277757,0.11861689947331687,0.5284738041002278,0.079781472277757,-0.07438197976185787,0.22854501261193966
DEV,10:30,MOMENTUM_VOLUME,1,120,439,439,0.03298737787604584,-0.06535417089507331,0.4760820045558087,0.03298737787604585,-0.17318938314051135,0.24196903125839667
DEV,10:30,MOMENTUM_VOLUME,3,30,1317,439,0.06437797909103912,0.0,0.48899012908124523,0.06437797909103912,-0.015835675594236195,0.14639972656102898
DEV,10:30,MOMENTUM_VOLUME,3,60,1317,439,0.08939475487947307,0.01620370370368891,0.5003796507213364,0.08939475487947308,-0.01728810260255277,0.20484195591059576
DEV,10:30,MOMENTUM_VOLUME,3,120,1317,439,0.11778809407940458,-0.03932584269663813,0.4859529233105543,0.11778809407940456,-0.028716741235848137,0.2639770795859113
DEV,10:30,MOMENTUM_VOLUME,5,30,2195,439,0.06947394601458869,0.0,0.49066059225512526,0.0694739460145887,-0.00106102841185736,0.13642833807163646
DEV,10:30,MOMENTUM_VOLUME,5,60,2195,439,0.11601015089481248,0.0,0.49430523917995445,0.11601015089481248,0.02122360036001707,0.22198235913838482
