trend,max_vwap_extension_pct,max_or_extension_atr,rvol_min,max_vwap_extension_pct_dev,max_vwap_extension_pct_validation,max_or_extension_atr_dev,max_or_extension_atr_validation,trades_dev,trades_validation,wins_dev,wins_validation,win_rate_dev,win_rate_validation,profit_factor_dev,profit_factor_validation,expectancy_r_dev,expectancy_r_validation,expectancy_ci_low_dev,expectancy_ci_low_validation,expectancy_ci_high_dev,expectancy_ci_high_validation,gross_pnl_dev,gross_pnl_validation,charges_dev,charges_validation,net_pnl_dev,net_pnl_validation,return_pct_dev,return_pct_validation,max_drawdown_pct_dev,max_drawdown_pct_validation,avg_mfe_r_dev,avg_mfe_r_validation,avg_mae_r_dev,avg_mae_r_validation,passes_min_trades,positive_both,ci_positive_both,robust_gate,worst_split_expectancy_r,total_trades_dev_validation
OFF,0.75,0.5,1.5,0.75,0.75,0.5,0.5,316,95,113,32,0.3575949367088608,0.3368421052631579,0.7246841298164193,0.7101546255591695,-0.19515897819793737,-0.21199826470255598,-0.3335033657726831,-0.4742961241342666,-0.055744025906359296,0.04207072753440339,-88925.73646081038,-29126.04008415422,64519.39268348433,20729.872015637862,-153445.1291442947,-49855.9120997921,-30.68902582885894,-9.97118241995842,-37.171777148318164,-9.818326403539023,1.011631197889307,1.0507146290055214,-0.9301389065896264,-0.8607318851352227,True,False,False,False,-0.21199826470255598,411
OFF,0.75,0.5,3.0,0.75,0.75,0.5,0.5,146,69,50,25,0.3424657534246575,0.36231884057971014,0.6869582497379897,0.7737410838723331,-0.21970316012379457,-0.1546011402133716,-0.4162069498494997,-0.4566781816827001,-0.00815133149331931,0.1585681601688492,-52248.00692619725,-11945.543585567966,27531.568959253887,14406.927226392958,-79779.57588545112,-26352.470811960928,-15.955915177090224,-5.270494162392185,-20.55580690801572,-7.204224187499387,0.9661320260033012,1.067832053316256,-0.9208319440787385,-0.8124377040437141,True,False,False,False,-0.21970316012379457,215
OFF,,,3.0,,,,,520,139,188,48,0.36153846153846153,0.34532374100719426,0.7448173576415503,0.6889949355766923,-0.18295464627297306,-0.2246855952861793,-0.2868053470055604,-0.43839363800888326,-0.06059886088370652,0.004021610211229183,-124389.25539242229,-47912.96853309098,111851.29842570199,29338.474658184397,-236240.55381812423,-77251.44319127536,-47.248110763624844,-15.450288638255072,-47.22580962061072,-16.000849894760222,1.1146872815650206,1.1085118740460662,-0.9565298747480756,-0.9032651222084219,True,False,False,False,-0.2246855952861793,659
OFF,0.75,,1.5,0.75,0.75,,,539,133,197,45,0.3654916512059369,0.3383458646616541,0.7581463945388864,0.6887235278795797,-0.17428279951802733,-0.23051680428134663,-0.2792544085298968,-0.4466179883214592,-0.06370873394307988,-0.0002653899631091126,-113191.37958061004,-46261.278689890256,120331.10374371079,29246.74928678786,-233522.4833243208,-75508.02797667812,-46.704496664864166,-15.101605595335624,-51.84397370864626,-14.653062531575001,1.042506392110904,1.0618155427813882,-0.9296324508501514,-0.8893156870490473,True,False,False,False,-0.23051680428134663,672
ON,0.75,0.25,1.5,0.75,0.75,0.25,0.25,127,43,40,14,0.31496062992125984,0.32558139534883723,0.6713398725938206,0.6987805183556967,-0.2415203911131372,-0.21280655736326223,-0.45000732123646825,-0.6096557503761939,-0.017697034334935437,0.16500729968016414,-50754.81144918807,-13741.271558732522,25428.654000968425,8785.920718912233,-76183.46545015652,-22527.19227764475,-15.236693090031306,-4.5054384555289495,-16.91517892376846,-6.457226845234991,0.9837877012764084,0.9122107649118435,-0.9323087259677483,-0.8199448648235877,True,False,False,False,-0.2415203911131372,170
OFF,0.75,0.25,1.5,0.75,0.75,0.25,0.25,219,71,71,27,0.3242009132420091,0.38028169014084506,0.6583551166303986,0.8445748546196619,-0.25017571689731744,-0.10459808761556144,-0.41852842328183193,-0.4033718277041812,-0.07898669579774589,0.19404336404998743,-91713.73370228674,-3145.8470136840974,44789.823391818165,14915.45101709179,-136503.5570941049,-18061.298030775888,-27.300711418820985,-3.612259606155178,-28.740305158785457,-5.079393854402529,0.9915719763417582,1.0755294911701343,-0.9224803689146874,-0.7946050421518172,True,False,False,False,-0.25017571689731744,290
OFF,1.0,0.5,1.5,1.0,1.0,0.5,0.5,363,107,138,34,0.38016528925619836,0.3177570093457944,0.7830459705417104,0.6541241721099118,-0.1477385479928424,-0.25618421771994326,-0.28332426138073086,-0.5047250317995645,-0.018230370089484308,-0.01068471235358864,-60610.44627522327,-45083.62760380718,72782.33598461813,22865.068869938572,-133392.7822598414,-67948.69647374575,-26.678556451968277,-13.589739294749148,-35.14541166046739,-14.329554655187987,1.0475009114987084,1.0357466151120445,-0.9077113999026042,-0.8763628210087897,True,False,False,False,-0.25618421771994326,470
ON,1.0,0.25,3.0,1.0,1.0,0.25,0.25,69,43,26,13,0.37681159420289856,0.3023255813953488,0.9369361718329361,0.6307168671269797,-0.04143153743492341,-0.2630537508667658,-0.3494064059996977,-0.6299743543725657,0.263001485286314,0.10050406725192078,5717.445603357284,-19745.099334391834,12542.461549857298,8181.178574017861,-6825.0159465000215,-27926.277908409695,-1.3650031893000043,-5.585255581681939,-5.607205623422384,-6.296631430744581,1.119107252639396,0.9630985185538018,-0.8322656005913444,-0.8659351085950103,True,False,False,False,-0.2630537508667658,112
ON,1.0,0.25,1.5,1.0,1.0,0.25,0.25,141,50,49,15,0.3475177304964539,0.3,0.7756777393489509,0.6340209438719355,-0.15584011677428158,-0.26523320654923016,-0.3735017648196061,-0.5996449431087489,0.08185878026409568,0.09976773728296172,-26570.697459194136,-23010.566131357416,27834.56197930737,9811.514210365307,-54405.25943850151,-32822.08034172273,-10.881051887700302,-6.564416068344546,-14.160382106586859,-7.52390397294002,1.05201002697473,0.9194774897471056,-0.8962981606622378,-0.8535990371008307,True,False,False,False,-0.26523320654923016,191
OFF,0.75,0.25,3.0,0.75,0.75,0.25,0.25,94,52,29,22,0.30851063829787234,0.4230769230769231,0.6345815769547013,1.0123247489528042,-0.26610911658247705,0.004372210225883039,-0.51343765811184,-0.36995489172796847,-0.0036030444769132243,0.3395441215158986,-44362.92495289461,11521.734017309587,17887.168215465495,10579.896911222842,-62250.0931683601,941.8371060867378,-12.45001863367202,0.18836742121734756,-16.522464087920252,-4.026735610957243,0.9596523757165525,1.150325752320751,-0.8979253054864299,-0.7507530024091432,True,False,False,False,-0.26610911658247705,146
