split,trend,max_vwap_extension_pct,max_or_extension_atr,rvol_min,trades,wins,win_rate,profit_factor,expectancy_r,expectancy_ci_low,expectancy_ci_high,gross_pnl,charges,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
VALIDATION,ON,1.0,0.5,1.5,71,18,0.2535211267605634,0.4929222646427077,-0.40900096274965253,-0.6924336704973377,-0.1162541339420371,-57113.66147137954,15021.299382942254,-72134.9608543218,-14.426992170864361,-16.23010374468221,0.910435819399409,-0.9247053126932665
DEV,ON,1.0,0.5,3.0,103,43,0.4174757281553398,0.9947935297448279,-0.005618168289942961,-0.25827766068508407,0.2657329756796466,18675.853481965867,19495.535626588655,-819.6821446227871,-0.1639364289245574,-7.681972568653876,1.116239581937532,-0.8841339541897999
VALIDATION,ON,1.0,0.5,3.0,57,15,0.2631578947368421,0.5180094024956039,-0.3724096768702785,-0.6719817130702137,-0.06763879183248948,-41391.24368193543,11301.96169111874,-52693.205373054174,-10.538641074610835,-12.225277533279344,0.9267952956581074,-0.8969162204567228
DEV,ON,1.0,0.25,1.5,141,49,0.3475177304964539,0.7756777393489509,-0.15584011677428158,-0.3735017648196061,0.08185878026409568,-26570.697459194136,27834.56197930737,-54405.25943850151,-10.881051887700302,-14.160382106586859,1.05201002697473,-0.8962981606622378
VALIDATION,ON,1.0,0.25,1.5,50,15,0.3,0.6340209438719355,-0.26523320654923016,-0.5996449431087489,0.09976773728296172,-23010.566131357416,9811.514210365307,-32822.08034172273,-6.564416068344546,-7.52390397294002,0.9194774897471056,-0.8535990371008307
DEV,ON,1.0,0.25,3.0,69,26,0.37681159420289856,0.9369361718329361,-0.04143153743492341,-0.3494064059996977,0.263001485286314,5717.445603357284,12542.461549857298,-6825.0159465000215,-1.3650031893000043,-5.607205623422384,1.119107252639396,-0.8322656005913444
VALIDATION,ON,1.0,0.25,3.0,43,13,0.3023255813953488,0.6307168671269797,-0.2630537508667658,-0.6299743543725657,0.10050406725192078,-19745.099334391834,8181.178574017861,-27926.277908409695,-5.585255581681939,-6.296631430744581,0.9630985185538018,-0.8659351085950103
DEV,ON,0.75,,1.5,272,101,0.3713235294117647,0.7919844363675147,-0.14846923619171465,-0.31276419911174125,0.002686579993992915,-40945.84142823734,59028.431605349215,-99974.27303358655,-19.99485460671731,-25.982219798327826,1.049479097097134,-0.9212518728306057
VALIDATION,ON,0.75,,1.5,93,27,0.2903225806451613,0.5226826115526487,-0.38304899502340817,-0.6158542589312337,-0.13277838147239246,-67650.70067248364,20674.531416263057,-88325.23208874668,-17.665046417749338,-18.831141835081073,0.9451910654210707,-0.9302770845641574
DEV,ON,0.75,,3.0,182,72,0.3956043956043956,0.8393405899445098,-0.10953617508446514,-0.30332173769648946,0.08895690729295057,-9146.39233635255,40410.147777588354,-49556.54011394089,-9.911308022788178,-15.514471279894796,1.036328263830032,-0.9494805399847318
VALIDATION,ON,0.75,,3.0,81,22,0.2716049382716049,0.41646004079600735,-0.48041751549290784,-0.7307690733192633,-0.22749520866267053,-79216.57869763594,17531.5871310895,-96748.16582872545,-19.349633165745093,-19.834684698479872,0.9066596613266533,-0.9597027372607424
DEV,ON,0.75,0.5,1.5,171,61,0.3567251461988304,0.762341249627275,-0.16803615254050708,-0.3674043798921678,0.029494607165576437,-36933.24613246943,34243.72181646575,-71176.96794893518,-14.235393589787037,-17.19973416777501,1.0197500907842556,-0.9303276815468908
VALIDATION,ON,0.75,0.5,1.5,61,17,0.2786885245901639,0.5418179535557407,-0.36466669109549005,-0.6816671209832176,-0.01033623048480939,-41974.899621824385,13355.845366920303,-55330.74498874468,-11.066148997748936,-12.084973938590963,0.9281310542079119,-0.9049145380889889
DEV,ON,0.75,0.5,3.0,93,37,0.3978494623655914,0.9198374671361137,-0.05199081731180428,-0.3332122763714129,0.1995693389840047,5996.958146136782,17736.843541557715,-11739.885395420937,-2.3479770790841874,-8.281829625438693,1.0622528115089382,-0.8946204182083135
VALIDATION,ON,0.75,0.5,3.0,47,14,0.2978723404255319,0.592622918005615,-0.30580131747893546,-0.6561151663988116,0.05460674053288923,-26148.09763597322,9574.656835167938,-35722.75447114117,-7.144550894228234,-9.339411917870349,0.9658467114560447,-0.8588198001607167
DEV,ON,0.75,0.25,1.5,127,40,0.31496062992125984,0.6713398725938206,-0.2415203911131372,-0.45000732123646825,-0.017697034334935437,-50754.81144918807,25428.654000968425,-76183.46545015652,-15.236693090031306,-16.91517892376846,0.9837877012764084,-0.9323087259677483
VALIDATION,ON,0.75,0.25,1.5,43,14,0.32558139534883723,0.6987805183556967,-0.21280655736326223,-0.6096557503761939,0.16500729968016414,-13741.271558732522,8785.920718912233,-22527.19227764475,-4.5054384555289495,-6.457226845234991,0.9122107649118435,-0.8199448648235877
DEV,ON,0.75,0.25,3.0,60,21,0.35,0.8533375348221206,-0.09759485052673748,-0.4204832924779865,0.24013147443120614,-3319.356849710693,11174.798975762355,-14494.155825473059,-2.898831165094612,-7.415556439647175,1.074445081419927,-0.8725945928223713
VALIDATION,ON,0.75,0.25,3.0,36,12,0.3333333333333333,0.7159146543716013,-0.19357116938210878,-0.6162028303346363,0.18590881300542436,-9876.651222493752,7224.1688672330665,-17100.820089726818,-3.4201640179453636,-5.710537610723301,1.0280737118092411,-0.8127393903037663
DEV,OFF,,,1.5,686,259,0.37755102040816324,0.8165212813942422,-0.12952240331934287,-0.23209512136945676,-0.030811185628550623,-74529.50691007919,145658.51964829623,-220188.02655837534,-44.037605311675065,-46.56842881248431,1.1160338618470456,-0.9237207089154327
VALIDATION,OFF,,,1.5,151,53,0.3509933774834437,0.781459622273169,-0.15668548296180307,-0.3633029067589641,0.06071500388618151,-25674.7061756954,32215.447426731596,-57890.15360242699,-11.578030720485398,-11.50914266756351,1.154049332089267,-0.88478600819577
DEV,OFF,,,3.0,520,188,0.36153846153846153,0.7448173576415503,-0.18295464627297306,-0.2868053470055604,-0.06059886088370652,-124389.25539242229,111851.29842570199,-236240.55381812423,-47.248110763624844,-47.22580962061072,1.1146872815650206,-0.9565298747480756
VALIDATION,OFF,,,3.0,139,48,0.34532374100719426,0.6889949355766923,-0.2246855952861793,-0.43839363800888326,0.004021610211229183,-47912.96853309098,29338.474658184397,-77251.44319127536,-15.450288638255072,-16.000849894760222,1.1085118740460662,-0.9032651222084219
DEV,OFF,,0.5,1.5,402,153,0.3805970149253731,0.7977728184388166,-0.13728847039855657,-0.26335786251521454,-0.006503308815542861,-57538.26785959696,79267.40231628751,-136805.67017588444,-27.36113403517689,-35.07116836200845,1.074175163678303,-0.8985799151954739
VALIDATION,OFF,,0.5,1.5,112,38,0.3392857142857143,0.713539435049086,-0.2065386373258995,-0.42874556042683576,0.04261692795429094,-33957.842930732026,23410.112362116735,-57367.955292848754,-11.47359105856975,-12.454681731314553,1.0287256339172195,-0.8790915142108872
DEV,OFF,,0.5,3.0,202,78,0.38613861386138615,0.8222270471565735,-0.11650105651041313,-0.2798661126222173,0.05639796716615999,-22152.16320674584,36064.65475118655,-58216.81795793239,-11.643363591586478,-14.623556781856617,1.0837382846677974,-0.875429761523659
VALIDATION,OFF,,0.5,3.0,85,31,0.36470588235294116,0.7805094435389823,-0.1477677300429526,-0.4234978947431125,0.13530905374066715,-14209.989409649646,16956.717439243483,-31166.70684889312,-6.233341369778624,-7.613899467069943,1.0223197519347267,-0.8473237823928508
DEV,OFF,,0.25,1.5,274,98,0.35766423357664234,0.7519250243707257,-0.17190705118622635,-0.3255144174438255,-0.024127109208908336,-62420.109923187185,54171.93565253429,-116592.0455757215,-23.3184091151443,-24.054008293342658,1.0458909472162357,-0.8915271178739652
VALIDATION,OFF,,0.25,1.5,83,29,0.3493975903614458,0.7393950411979519,-0.17888366065524933,-0.45141254059533065,0.08613631518614487,-20144.084052303202,16589.84672727298,-36733.93077957619,-7.346786155915239,-8.079384290518965,1.0386962406752662,-0.8355139952101871
DEV,OFF,,0.25,3.0,134,46,0.34328358208955223,0.7194787866519382,-0.19337923702418805,-0.4074402849111381,0.031358841362061865,-40161.16488132666,23876.257866931504,-64037.42274825815,-12.80748454965163,-14.331740841049442,1.0160218262976526,-0.8714855591648281
VALIDATION,OFF,,0.25,3.0,63,24,0.38095238095238093,0.8449191164468225,-0.09958627688153313,-0.4038022683917236,0.2316248569455453,-3321.277580811663,11998.697860126902,-15319.975440938562,-3.0639950881877125,-4.69663343609059,1.0452068680399724,-0.8172940014280831
DEV,OFF,1.0,,1.5,608,237,0.38980263157894735,0.8350574948498122,-0.11369519142694645,-0.21081120079894322,-0.008814848839009775,-41559.941178060784,130144.75814297228,-171704.69932103308,-34.34093986420662,-41.18484751156809,1.0912631296183164,-0.9125945059869219
VALIDATION,OFF,1.0,,1.5,145,49,0.33793103448275863,0.724480075933529,-0.2011995832585708,-0.422976373601998,0.006007767843178486,-40189.96727313815,31342.080589780802,-71532.04786291896,-14.306409572583792,-14.047180145638166,1.1052212879943317,-0.877471356547
DEV,OFF,1.0,,3.0,418,162,0.3875598086124402,0.8122612078812099,-0.1295877349959309,-0.26400189203365043,-0.0038442318399063225,-41967.35092026098,91952.41130575031,-133919.7622260113,-26.783952445202264,-28.394306211728367,1.0857946928460582,-0.933264782040368
VALIDATION,OFF,1.0,,3.0,133,44,0.3308270676691729,0.62548476569811,-0.2775759883889065,-0.47432583966559544,-0.06537509535467696,-62535.041151507074,28635.195631174145,-91170.23678268123,-18.234047356536244,-18.575252474219276,1.0451397508772051,-0.8940437861940594
DEV,OFF,1.0,0.5,1.5,363,138,0.38016528925619836,0.7830459705417104,-0.1477385479928424,-0.28332426138073086,-0.018230370089484308,-60610.44627522327,72782.33598461813,-133392.7822598414,-26.678556451968277,-35.14541166046739,1.0475009114987084,-0.9077113999026042
VALIDATION,OFF,1.0,0.5,1.5,107,34,0.3177570093457944,0.6541241721099118,-0.25618421771994326,-0.5047250317995645,-0.01068471235358864,-45083.62760380718,22865.068869938572,-67948.69647374575,-13.589739294749148,-14.329554655187987,1.0357466151120445,-0.8763628210087897
DEV,OFF,1.0,0.5,3.0,173,66,0.3815028901734104,0.7883357823967637,-0.1397570643667635,-0.3311248541907327,0.042571440057661156,-28120.639590579216,31915.333396476475,-60035.97298705569,-12.00719459741114,-16.487046626721423,1.0302790974094842,-0.8925268994731056
VALIDATION,OFF,1.0,0.5,3.0,80,27,0.3375,0.6982361038911354,-0.21060367720679238,-0.4848146663765032,0.07799204990212756,-25270.60478041586,16419.028854141856,-41689.633634557715,-8.337926726911544,-9.477141023298802,1.032789070875317,-0.8416286415475156
DEV,OFF,1.0,0.25,1.5,248,89,0.3588709677419355,0.7641312143455433,-0.16263054034758667,-0.32455299276903676,0.004303106502210985,-50735.00056800577,49562.53006597441,-100297.53063398018,-20.059506126796034,-21.726609107388644,1.047670149091639,-0.885778059214275
VALIDATION,OFF,1.0,0.25,1.5,80,29,0.3625,0.7786892593508369,-0.15018643631773795,-0.41842110695336465,0.1692991047122507,-13257.632306181784,16413.41565821551,-29671.0479643973,-5.93420959287946,-6.432126053127332,1.07616818325018,-0.8173285380338381
DEV,OFF,1.0,0.25,3.0,116,40,0.3448275862068966,0.7396486179193674,-0.1776827658090883,-0.4004052921922347,0.04456130079204394,-30215.840521851984,20998.67005505796,-51214.510576909925,-10.242902115381986,-13.857480323551005,1.0258748606570864,-0.8557640785396301
VALIDATION,OFF,1.0,0.25,3.0,60,24,0.4,0.9104314126665723,-0.05736149650745026,-0.35767316118872755,0.2630829814996919,3591.7002373258247,11820.545676537191,-8228.84543921136,-1.6457690878422722,-3.558296504875179,1.0954949895080923,-0.7921357255038459
DEV,OFF,0.75,,1.5,539,197,0.3654916512059369,0.7581463945388864,-0.17428279951802733,-0.2792544085298968,-0.06370873394307988,-113191.37958061004,120331.10374371079,-233522.4833243208,-46.704496664864166,-51.84397370864626,1.042506392110904,-0.9296324508501514
VALIDATION,OFF,0.75,,1.5,133,45,0.3383458646616541,0.6887235278795797,-0.23051680428134663,-0.4466179883214592,-0.0002653899631091126,-46261.278689890256,29246.74928678786,-75508.02797667812,-15.101605595335624,-14.653062531575001,1.0618155427813882,-0.8893156870490473
DEV,OFF,0.75,,3.0,326,119,0.36503067484662577,0.7174496365529363,-0.20272559390496336,-0.3498605472757445,-0.06272011756929058,-91319.06683244463,73145.60989926793,-164464.6767317126,-32.89293534634252,-37.06673153215865,1.002664411133277,-0.9447571666888047
VALIDATION,OFF,0.75,,3.0,117,39,0.3333333333333333,0.5877893109647547,-0.31073173866956677,-0.5328363514396712,-0.08397559976062223,-64470.41740278191,25708.65252795569,-90179.06993073759,-18.035813986147517,-18.831066701757695,1.0047425264478336,-0.8960539457042002
DEV,OFF,0.75,0.5,1.5,316,113,0.3575949367088608,0.7246841298164193,-0.19515897819793737,-0.3335033657726831,-0.055744025906359296,-88925.73646081038,64519.39268348433,-153445.1291442947,-30.68902582885894,-37.171777148318164,1.011631197889307,-0.9301389065896264
VALIDATION,OFF,0.75,0.5,1.5,95,32,0.3368421052631579,0.7101546255591695,-0.21199826470255598,-0.4742961241342666,0.04207072753440339,-29126.04008415422,20729.872015637862,-49855.9120997921,-9.97118241995842,-9.818326403539023,1.0507146290055214,-0.8607318851352227
DEV,OFF,0.75,0.5,3.0,146,50,0.3424657534246575,0.6869582497379897,-0.21970316012379457,-0.4162069498494997,-0.00815133149331931,-52248.00692619725,27531.568959253887,-79779.57588545112,-15.955915177090224,-20.55580690801572,0.9661320260033012,-0.9208319440787385
VALIDATION,OFF,0.75,0.5,3.0,69,25,0.36231884057971014,0.7737410838723331,-0.1546011402133716,-0.4566781816827001,0.1585681601688492,-11945.543585567966,14406.927226392958,-26352.470811960928,-5.270494162392185,-7.204224187499387,1.067832053316256,-0.8124377040437141
DEV,OFF,0.75,0.25,1.5,219,71,0.3242009132420091,0.6583551166303986,-0.25017571689731744,-0.41852842328183193,-0.07898669579774589,-91713.73370228674,44789.823391818165,-136503.5570941049,-27.300711418820985,-28.740305158785457,0.9915719763417582,-0.9224803689146874
VALIDATION,OFF,0.75,0.25,1.5,71,27,0.38028169014084506,0.8445748546196619,-0.10459808761556144,-0.4033718277041812,0.19404336404998743,-3145.8470136840974,14915.45101709179,-18061.298030775888,-3.612259606155178,-5.079393854402529,1.0755294911701343,-0.7946050421518172
DEV,OFF,0.75,0.25,3.0,94,29,0.30851063829787234,0.6345815769547013,-0.26610911658247705,-0.51343765811184,-0.0036030444769132243,-44362.92495289461,17887.168215465495,-62250.0931683601,-12.45001863367202,-16.522464087920252,0.9596523757165525,-0.8979253054864299
VALIDATION,OFF,0.75,0.25,3.0,52,22,0.4230769230769231,1.0123247489528042,0.004372210225883039,-0.36995489172796847,0.3395441215158986,11521.734017309587,10579.896911222842,941.8371060867378,0.18836742121734756,-4.026735610957243,1.150325752320751,-0.7507530024091432
