split,selection,stop_mode,horizon_min,trades,win_rate,gross_expectancy_r,net_expectancy_r,profit_factor_net,net_ci_low,net_ci_high,avg_net_pnl_1l,median_net_pnl_1l,avg_charges_1l,stop_rate
VALIDATION,TOP2,PULLBACK_LOW,120,17,0.47058823529411764,0.06554139116636315,-0.13331111521246597,0.8424977426871695,-0.6382432238279664,0.452549335438229,-35.61144215778449,-28.981939125168182,78.88618333426554,0.4117647058823529
DEV,TOP3,ATR1,60,65,0.3384615384615385,0.12507568796649846,-0.074653866243228,1.0293591728539586,-0.48223187164670167,0.4114510413494246,8.27492797180563,-326.4107846684476,77.41044817106062,0.4461538461538462
VALIDATION,TOP3,ATR1,60,17,0.5882352941176471,0.2935386103325679,0.06406107335600554,1.2840334237170414,-0.5174930558046753,0.6783237724148254,49.341818971464406,81.66336247303941,81.37096149073358,0.35294117647058826
DEV,TOP3,ATR1,120,60,0.3333333333333333,0.19144355164171004,0.00285636168445772,1.1473104122075848,-0.441168065589906,0.5079481431965038,45.793850812657254,-390.4303416521361,77.00700271116138,0.5166666666666667
VALIDATION,TOP3,ATR1,120,17,0.5294117647058824,0.20987288349141317,-0.019582728244071115,1.074635173463065,-0.5559692307695167,0.6044305420849675,15.25309755089307,79.05252328373903,81.36203438189148,0.4117647058823529
DEV,TOP3,ATR1_5,60,65,0.36923076923076925,0.07362367826947695,-0.07599273326837007,0.9269916675953763,-0.38367257652085246,0.26625848280203745,-17.77699396023027,-193.5169974441957,66.35812451518336,0.3384615384615385
VALIDATION,TOP3,ATR1_5,60,17,0.5882352941176471,0.14482737324516504,-0.02546505658307357,1.0112669256075932,-0.4645759740286023,0.43593569061140314,2.1261473579833488,68.15641671364885,75.9356830201786,0.29411764705882354
DEV,TOP3,ATR1_5,120,60,0.38333333333333336,0.1143763547914487,-0.027854730439754345,0.9991955304827006,-0.39793843246067395,0.32507064026652815,-0.22245756955724877,-251.1345941709857,65.04438129575519,0.43333333333333335
VALIDATION,TOP3,ATR1_5,120,17,0.5294117647058824,0.06852145335486282,-0.10175051931007763,0.8304577909019091,-0.5420695555399817,0.3754725587487692,-36.94051023147146,39.52626164186952,75.92491430711067,0.35294117647058826
DEV,TOP3,PULLBACK_LOW,60,65,0.2923076923076923,0.13356412009389432,-0.14031668389575774,0.8563911777351612,-0.7107656546724838,0.633237323115627,-42.41467054330003,-305.761575077549,75.01482162023218,0.5230769230769231
VALIDATION,TOP3,PULLBACK_LOW,60,17,0.5294117647058824,0.12323262172693947,-0.0756208268593825,1.0310570441884623,-0.5741504010176962,0.44895522626807177,6.160482379725071,58.36971622037359,78.89041909087484,0.35294117647058826
DEV,TOP3,PULLBACK_LOW,120,60,0.2833333333333333,0.17555885585310438,-0.08305268843995717,0.9160347652860865,-0.6830787256397587,0.6946842890291286,-26.553724359053042,-336.81560768297834,74.59812535906129,0.6166666666666667
VALIDATION,TOP3,PULLBACK_LOW,120,17,0.47058823529411764,0.06554139116636315,-0.13331111521246597,0.8424977426871695,-0.6382432238279664,0.452549335438229,-35.61144215778449,-28.981939125168182,78.88618333426554,0.4117647058823529
