selection,trades,starting_capital,net_pnl,ending_capital,return_pct,win_rate,total_charges,profit_factor,split,entry_variant,stop_mode,exit_mode
TOP2,299,100000.0,-26402.316095938422,73597.68390406157,-26.402316095938428,0.2909698996655518,13227.602251654003,0.4721612407546516,DEV,VWAP_RECLAIM,ATR1,TIME60
TOP3,390,100000.0,-22455.625899246297,77544.3741007537,-22.4556258992463,0.2923076923076923,11700.37494853318,0.48201461295151604,DEV,VWAP_RECLAIM,ATR1,TIME60
TOP1,141,100000.0,-25132.100817422648,74867.89918257736,-25.132100817422643,0.2553191489361702,9852.723859209447,0.4393113888454187,DEV,VWAP_RECLAIM,ATR1,TIME120
TOP2,290,100000.0,-28955.295569200684,71044.70443079932,-28.95529556920068,0.2517241379310345,12669.506185630533,0.47235522030261,DEV,VWAP_RECLAIM,ATR1,TIME120
TOP3,379,100000.0,-24529.42201408648,75470.57798591352,-24.529422014086478,0.2770448548812665,11245.010072659043,0.4771722562320115,DEV,VWAP_RECLAIM,ATR1,TIME120
TOP1,144,100000.0,-22363.656715216297,77636.34328478371,-22.363656715216283,0.3194444444444444,10288.590093431705,0.5287795931057598,DEV,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP2,298,100000.0,-30932.913553451028,69067.08644654897,-30.932913553451023,0.2953020134228188,13108.510373452356,0.46060763540973637,DEV,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP3,388,100000.0,-25662.058323676836,74337.94167632316,-25.66205832367684,0.3118556701030928,11529.856617249445,0.477767124711336,DEV,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP1,146,100000.0,-13269.680352781079,86730.31964721892,-13.269680352781087,0.3767123287671233,9078.43831135353,0.5901707960993738,DEV,VWAP_RECLAIM,ATR1_5,TIME60
TOP2,295,100000.0,-21181.663260420562,78818.33673957943,-21.18166326042057,0.3423728813559322,13365.066231671964,0.5437355119677096,DEV,VWAP_RECLAIM,ATR1_5,TIME60
TOP3,387,100000.0,-18085.53119553235,81914.46880446764,-18.085531195532354,0.3462532299741602,12074.474764283614,0.5708078719941335,DEV,VWAP_RECLAIM,ATR1_5,TIME60
TOP1,140,100000.0,-18944.050727654696,81055.9492723453,-18.944050727654705,0.3357142857142857,8442.011476584245,0.49317084653495125,DEV,VWAP_RECLAIM,ATR1_5,TIME120
TOP2,282,100000.0,-22140.126365577158,77859.87363442284,-22.14012636557716,0.34397163120567376,12753.743382721364,0.5874885966489389,DEV,VWAP_RECLAIM,ATR1_5,TIME120
TOP3,371,100000.0,-18810.695750515617,81189.30424948438,-18.810695750515617,0.3692722371967655,11606.572057659716,0.6064454568482757,DEV,VWAP_RECLAIM,ATR1_5,TIME120
TOP1,141,100000.0,-13316.993219800072,86683.00678019992,-13.316993219800077,0.36879432624113473,8743.669863551073,0.6937230830455102,DEV,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP2,284,100000.0,-20028.335963114878,79971.66403688512,-20.028335963114873,0.35563380281690143,13253.079509009101,0.687032172048674,DEV,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP3,375,100000.0,-17965.885498327025,82034.11450167297,-17.965885498327026,0.368,11841.352706006797,0.6882984281729843,DEV,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP1,445,100000.0,-57704.31085843537,42295.68914156463,-57.70431085843537,0.28314606741573034,25928.87831129531,0.44569574381024696,DEV,NEW_HIGH,ATR1,TIME60
TOP2,750,100000.0,-47373.84032883567,52626.15967116433,-47.37384032883567,0.30133333333333334,28365.87977383858,0.5452921695429919,DEV,NEW_HIGH,ATR1,TIME60
TOP3,904,100000.0,-39335.75098880771,60664.24901119229,-39.33575098880772,0.2920353982300885,24110.26902559581,0.5551771506403593,DEV,NEW_HIGH,ATR1,TIME60
TOP1,411,100000.0,-55951.95068386033,44048.04931613967,-55.95195068386032,0.24330900243309003,24773.00432850581,0.5026415629127859,DEV,NEW_HIGH,ATR1,TIME120
TOP2,693,100000.0,-44823.81962183316,55176.18037816684,-44.82381962183316,0.2611832611832612,27271.22450147874,0.6005200223363584,DEV,NEW_HIGH,ATR1,TIME120
TOP3,845,100000.0,-36197.75320889549,63802.24679110451,-36.19775320889549,0.2579881656804734,23220.99147104061,0.6210895451953444,DEV,NEW_HIGH,ATR1,TIME120
TOP1,445,100000.0,-54160.0473451105,45839.9526548895,-54.160047345110506,0.32808988764044944,27337.107529399236,0.5286786206853286,DEV,NEW_HIGH,ATR1,TARGET2R_EOD
TOP2,767,100000.0,-47066.26964873872,52933.73035126128,-47.066269648738725,0.35853976531942633,29700.52852159895,0.5837508057183484,DEV,NEW_HIGH,ATR1,TARGET2R_EOD
TOP3,933,100000.0,-40197.81239848803,59802.18760151197,-40.19781239848803,0.35476956055734193,24974.37101384769,0.576330861858604,DEV,NEW_HIGH,ATR1,TARGET2R_EOD
TOP1,433,100000.0,-49337.6953919694,50662.3046080306,-49.33769539196939,0.325635103926097,23088.474365721988,0.46887763247335357,DEV,NEW_HIGH,ATR1_5,TIME60
TOP2,734,100000.0,-45123.72713861652,54876.27286138348,-45.12372713861652,0.3474114441416894,28207.673716119476,0.5769511585580829,DEV,NEW_HIGH,ATR1_5,TIME60
TOP3,887,100000.0,-37809.81637764618,62190.18362235382,-37.80981637764618,0.33934611048478014,23883.826953541546,0.5856537706766538,DEV,NEW_HIGH,ATR1_5,TIME60
TOP1,387,100000.0,-48294.40413997534,51705.59586002466,-48.29440413997534,0.3152454780361757,21014.1437078347,0.5245733430770471,DEV,NEW_HIGH,ATR1_5,TIME120
TOP2,661,100000.0,-44449.60238296274,55550.39761703726,-44.44960238296274,0.329803328290469,26497.580385465517,0.627535423301507,DEV,NEW_HIGH,ATR1_5,TIME120
TOP3,811,100000.0,-35672.8498320262,64327.1501679738,-35.6728498320262,0.3279901356350185,22451.839425064216,0.6526412095718079,DEV,NEW_HIGH,ATR1_5,TIME120
TOP1,405,100000.0,-48390.1881439595,51609.8118560405,-48.3901881439595,0.31851851851851853,22060.633608604705,0.5682081470258704,DEV,NEW_HIGH,ATR1_5,TARGET2R_EOD
TOP2,704,100000.0,-45647.77419407907,54352.22580592093,-45.64777419407907,0.3465909090909091,28194.526662296226,0.6599140225752793,DEV,NEW_HIGH,ATR1_5,TARGET2R_EOD
TOP3,862,100000.0,-37829.71512534795,62170.28487465205,-37.82971512534795,0.3538283062645012,23621.453863207513,0.6665326615333994,DEV,NEW_HIGH,ATR1_5,TARGET2R_EOD
TOP1,265,100000.0,-34240.79190907893,65759.20809092108,-34.24079190907893,0.29056603773584905,19769.944540866945,0.500618991124875,VALIDATION,IMMEDIATE,ATR1,TIME60
TOP2,458,100000.0,-33932.352486980235,66067.64751301977,-33.932352486980236,0.259825327510917,20055.130883768048,0.4537698389729948,VALIDATION,IMMEDIATE,ATR1,TIME60
TOP3,576,100000.0,-30926.599649630512,69073.40035036948,-30.926599649630514,0.24305555555555555,17001.27031856081,0.4155717997259957,VALIDATION,IMMEDIATE,ATR1,TIME60
TOP1,207,100000.0,-28949.747202241724,71050.25279775828,-28.949747202241717,0.28502415458937197,15595.56634831478,0.5308760044585678,VALIDATION,IMMEDIATE,ATR1,TIME120
TOP2,375,100000.0,-26075.280841872318,73924.71915812769,-26.075280841872317,0.27466666666666667,17175.092089731166,0.5489864896949289,VALIDATION,IMMEDIATE,ATR1,TIME120
TOP3,488,100000.0,-23776.186858949317,76223.81314105069,-23.77618685894931,0.27049180327868855,14990.940150736444,0.5236144771117908,VALIDATION,IMMEDIATE,ATR1,TIME120
TOP1,256,100000.0,-38545.719675280154,61454.280324719846,-38.545719675280154,0.34765625,18659.629617067963,0.44054174721936196,VALIDATION,IMMEDIATE,ATR1,TARGET2R_EOD
TOP2,452,100000.0,-37487.747291640444,62512.252708359556,-37.48774729164044,0.3274336283185841,19206.78647164244,0.41175858173879465,VALIDATION,IMMEDIATE,ATR1,TARGET2R_EOD
TOP3,574,100000.0,-33354.413094420896,66645.58690557911,-33.354413094420885,0.31881533101045295,16586.717865851166,0.38930292036029013,VALIDATION,IMMEDIATE,ATR1,TARGET2R_EOD
TOP1,249,100000.0,-22423.746822937992,77576.25317706201,-22.423746822937986,0.36947791164658633,17684.597331868623,0.6199552670248576,VALIDATION,IMMEDIATE,ATR1_5,TIME60
TOP2,428,100000.0,-29834.85155488799,70165.148445112,-29.834851554887997,0.32242990654205606,19055.11046256861,0.5067025024571077,VALIDATION,IMMEDIATE,ATR1_5,TIME60
TOP3,542,100000.0,-26721.86336676677,73278.13663323323,-26.721863366766772,0.3025830258302583,16380.435952839864,0.4766188829417835,VALIDATION,IMMEDIATE,ATR1_5,TIME60
TOP1,173,100000.0,-14889.959254117017,85110.04074588299,-14.889959254117013,0.3988439306358382,12289.156969832573,0.6961626664876461,VALIDATION,IMMEDIATE,ATR1_5,TIME120
TOP2,325,100000.0,-21560.28010590076,78439.71989409924,-21.560280105900766,0.3446153846153846,15045.346495723672,0.6081617449650836,VALIDATION,IMMEDIATE,ATR1_5,TIME120
TOP3,418,100000.0,-18615.692422512973,81384.30757748702,-18.615692422512975,0.34688995215311,13209.507663049957,0.6011919711080513,VALIDATION,IMMEDIATE,ATR1_5,TIME120
TOP1,201,100000.0,-19497.791487129998,80502.20851287,-19.49779148713,0.4079601990049751,14100.913634452954,0.6645845431435181,VALIDATION,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP2,368,100000.0,-29125.1459958432,70874.8540041568,-29.125145995843194,0.36684782608695654,16454.939870666283,0.5533731276984574,VALIDATION,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP3,465,100000.0,-23962.608923724776,76037.39107627522,-23.962608923724783,0.3634408602150538,14211.971923726138,0.5617555974503502,VALIDATION,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP1,63,100000.0,-5995.345272461952,94004.65472753804,-5.995345272461961,0.31746031746031744,4981.62521781961,0.6290656579869421,VALIDATION,VWAP_RECLAIM,ATR1,TIME60
TOP2,113,100000.0,-6289.4052476755,93710.5947523245,-6.289405247675505,0.3008849557522124,5697.418899818852,0.5975235069044554,VALIDATION,VWAP_RECLAIM,ATR1,TIME60
TOP3,141,100000.0,-5057.268896914072,94942.73110308593,-5.057268896914069,0.3120567375886525,4733.1653462002205,0.583040983467238,VALIDATION,VWAP_RECLAIM,ATR1,TIME60
TOP1,62,100000.0,-8296.442648286557,91703.55735171345,-8.29644264828655,0.3064516129032258,4878.954619358572,0.5495806602735199,VALIDATION,VWAP_RECLAIM,ATR1,TIME120
TOP2,111,100000.0,-8169.982031044051,91830.01796895594,-8.169982031044054,0.2702702702702703,5543.150427830334,0.5398458601235239,VALIDATION,VWAP_RECLAIM,ATR1,TIME120
