gap_min,rvol_min,target_r,opening_range,trades_dev,trades_validation,wins_dev,wins_validation,win_rate_dev,win_rate_validation,profit_factor_dev,profit_factor_validation,expectancy_r_dev,expectancy_r_validation,expectancy_ci_low_dev,expectancy_ci_low_validation,expectancy_ci_high_dev,expectancy_ci_high_validation,net_pnl_dev,net_pnl_validation,return_pct_dev,return_pct_validation,max_drawdown_pct_dev,max_drawdown_pct_validation,avg_mfe_r_dev,avg_mfe_r_validation,avg_mae_r_dev,avg_mae_r_validation,passes_min_trades,positive_both,ci_positive_both,robust_gate,worst_split_expectancy_r,total_trades_dev_validation
1.5,1.5,1.5,15,17,0,8,0,0.47058823529411764,0.0,0.8324092315502017,,-0.09738874993350365,,-0.6103058765629675,,0.4555467590248006,,-4155.053248676706,0.0,-0.8310106497353411,0.0,-1.8334874697101111,0.0,0.8987716378863045,,-0.8340441168187288,,False,False,False,False,-0.09738874993350365,17
1.5,1.5,2.5,15,17,0,7,0,0.4117647058823529,0.0,0.80531925534323,,-0.12286150602764864,,-0.6976768714233362,,0.529527808264916,,-5170.0795937278945,0.0,-1.0340159187455789,0.0,-2.620248779693862,0.0,1.1483720434852607,,-0.8701464486897279,,False,False,False,False,-0.12286150602764864,17
1.0,1.5,1.5,15,44,11,18,5,0.4090909090909091,0.45454545454545453,0.5952081965848369,0.5081129954888066,-0.28141111190195356,-0.3608445580340724,-0.6139137480108544,-0.9785080707937932,0.04650848438651994,0.3626813539091962,-30871.97801142806,-9957.684986607957,-6.174395602285611,-1.9915369973215917,-6.819660812793647,-2.0688390070893425,0.8300057540392679,0.7930042840842504,-0.8736697660212926,-0.8376578583477495,True,False,False,False,-0.3608445580340724,55
2.0,3.0,2.0,15,3,0,1,0,0.3333333333333333,0.0,0.15919631528495132,,-0.3721222509504163,,-1.0803163049731732,,0.21227791179492042,,-2787.3262358524757,0.0,-0.5574652471704952,0.0,-0.539765992744325,0.0,0.8648890724580826,,-0.7526383086883205,,False,False,False,False,-0.3721222509504163,3
2.0,3.0,2.5,15,3,0,1,0,0.3333333333333333,0.0,0.15919631528495132,,-0.3721222509504163,,-1.0803163049731732,,0.21227791179492042,,-2787.3262358524757,0.0,-0.5574652471704952,0.0,-0.539765992744325,0.0,0.8648890724580826,,-0.7526383086883205,,False,False,False,False,-0.3721222509504163,3
1.0,5.0,2.0,15,13,6,6,3,0.46153846153846156,0.5,1.6409875699383725,0.26356377700511296,0.31496575287522066,-0.4750967721421728,-0.43074563115362563,-1.0680172799882532,1.0963712578417963,0.15988675506505334,10283.71833295366,-7136.237074150115,2.056743666590732,-1.427247414830023,-1.798759442861628,-1.8593539902080827,1.5377690577444265,1.2227892949944783,-0.7630465319339456,-0.9337417579356782,False,False,False,False,-0.4750967721421728,19
1.0,5.0,2.5,15,13,6,5,3,0.38461538461538464,0.5,1.5772214903826158,0.26356377700511296,0.31170279401981626,-0.4750967721421728,-0.5298285290836274,-1.0680172799882532,1.1845472031987507,0.15988675506505334,10291.802434352347,-7136.237074150115,2.0583604868704692,-1.427247414830023,-1.7857418765261,-1.8593539902080827,1.7079452011984537,1.2227892949944783,-0.8102572736114056,-0.9337417579356782,False,False,False,False,-0.4750967721421728,19
1.0,3.0,2.0,15,24,9,12,3,0.5,0.3333333333333333,1.1042157649835904,0.27632688689119655,0.05633828204913522,-0.6354052394749817,-0.42351565604494057,-1.2884090336840492,0.5979411487579888,0.2117081014494081,3479.3720841310833,-14322.742720200235,0.6958744168262166,-2.864548544040047,-2.899749309247326,-3.200076789356743,1.262772053747404,1.0654136121307445,-0.7975846919128745,-0.9722389295270022,False,False,False,False,-0.6354052394749817,33
1.0,1.5,2.5,15,44,11,16,3,0.36363636363636365,0.2727272727272727,0.6414564148850497,0.24960650707383894,-0.2667686728368604,-0.7242363307618485,-0.6476981290199999,-1.3071252849634185,0.09558649507554709,0.08455919980029693,-29123.375601027758,-19914.537266765277,-5.824675120205551,-3.982907453353055,-7.886961161539048,-4.552196928757733,1.0600437151809146,0.9033438470553933,-0.9158063137072666,-1.0179092616207388,True,False,False,False,-0.7242363307618485,55
1.0,3.0,2.5,15,24,9,11,3,0.4583333333333333,0.3333333333333333,1.1668125344598637,0.173806756054417,0.09619670266295562,-0.7278025431654436,-0.4492417492706559,-1.2884090336840492,0.7396332092627944,-0.11858870898765894,5870.018045175653,-16351.793449069433,1.1740036090351307,-3.2703586898138868,-3.3429031805687988,-3.200076789356743,1.3946165286843806,1.089033761564342,-0.8231571769881655,-0.9722389295270022,False,False,False,False,-0.7278025431654436,33
