split,gap_min,rvol_min,target_r,opening_range,trades,wins,win_rate,profit_factor,expectancy_r,expectancy_ci_low,expectancy_ci_high,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
VALIDATION,1.0,5.0,1.5,15,6,5,0.8333333333333334,3.1686054346024073,0.47416105596099883,-0.3553718474151595,1.098386000206622,7120.864999698718,1.4241729999397437,-0.651439038465161,1.1571669309597816,-0.6138256153780145
DEV,1.0,5.0,2.0,15,13,6,0.46153846153846156,1.6409875699383725,0.31496575287522066,-0.43074563115362563,1.0963712578417963,10283.71833295366,2.056743666590732,-1.798759442861628,1.5377690577444265,-0.7630465319339456
VALIDATION,1.0,5.0,2.0,15,6,3,0.5,0.26356377700511296,-0.4750967721421728,-1.0680172799882532,0.15988675506505334,-7136.237074150115,-1.427247414830023,-1.8593539902080827,1.2227892949944783,-0.9337417579356782
DEV,1.0,5.0,2.5,15,13,5,0.38461538461538464,1.5772214903826158,0.31170279401981626,-0.5298285290836274,1.1845472031987507,10291.802434352347,2.0583604868704692,-1.7857418765261,1.7079452011984537,-0.8102572736114056
VALIDATION,1.0,5.0,2.5,15,6,3,0.5,0.26356377700511296,-0.4750967721421728,-1.0680172799882532,0.15988675506505334,-7136.237074150115,-1.427247414830023,-1.8593539902080827,1.2227892949944783,-0.9337417579356782
DEV,1.5,1.5,1.5,15,17,8,0.47058823529411764,0.8324092315502017,-0.09738874993350365,-0.6103058765629675,0.4555467590248006,-4155.053248676706,-0.8310106497353411,-1.8334874697101111,0.8987716378863045,-0.8340441168187288
VALIDATION,1.5,1.5,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,1.5,2.0,15,17,8,0.47058823529411764,0.9889555762943818,-0.005875814528176145,-0.5991406152604986,0.6248553565370046,-274.05138685715065,-0.05481027737143013,-2.188934590606515,1.0497799992487322,-0.8340441168187288
VALIDATION,1.5,1.5,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,1.5,2.5,15,17,7,0.4117647058823529,0.80531925534323,-0.12286150602764864,-0.6976768714233362,0.529527808264916,-5170.0795937278945,-1.0340159187455789,-2.620248779693862,1.1483720434852607,-0.8701464486897279
VALIDATION,1.5,1.5,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,3.0,1.5,15,11,7,0.6363636363636364,1.9500082220722879,0.31864128340955505,-0.33998544841730616,0.9211533879922366,8718.149096387835,1.743629819277567,-1.007146314545278,1.1565669814069652,-0.6877095859617218
VALIDATION,1.5,3.0,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,3.0,2.0,15,11,7,0.6363636363636364,2.187647281529845,0.3977131125865085,-0.3415754305202748,1.1163259309458498,10898.943644625666,2.1797887289251334,-1.0022116361925784,1.3428174940734587,-0.6877095859617218
VALIDATION,1.5,3.0,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,3.0,2.5,15,11,6,0.5454545454545454,1.7573481222247238,0.30300426131375835,-0.4700577187441013,1.1446007805336176,8310.110836331361,1.6620221672662723,-1.3481912426226321,1.5758843087906789,-0.7435040988532655
VALIDATION,1.5,3.0,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,5.0,1.5,15,9,4,0.4444444444444444,1.0204920567116018,0.011733388492073412,-0.7960689588253564,0.7598822614408539,255.00744880204672,0.051001489760409344,-2.3550439226898168,1.0235926892187155,-0.7555860572280144
VALIDATION,1.5,5.0,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,5.0,2.0,15,9,4,0.4444444444444444,1.420688152348639,0.2337809256282855,-0.730781620942106,1.1481855196223465,5235.1315429912875,1.0470263085982576,-2.3435060368284204,1.2953063996173926,-0.7555860572280144
VALIDATION,1.5,5.0,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,1.5,5.0,2.5,15,9,3,0.3333333333333333,1.1883498545492555,0.11802566296158847,-0.8242033032053685,1.1622332283783614,2680.3235030816663,0.5360647006163333,-2.681263482326153,1.5411163846065437,-0.8237793507621234
VALIDATION,1.5,5.0,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,1.5,1.5,15,7,1,0.14285714285714285,0.20609117952003517,-0.7342779872718993,-1.2980194178758568,0.013701915192923552,-12811.081022759001,-2.5622162045518,-2.5256080207913336,0.5097786930610045,-1.0036352052450088
VALIDATION,2.0,1.5,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,1.5,2.0,15,7,1,0.14285714285714285,0.06099545248662428,-0.8689174521787165,-1.2980194178758568,-0.3632350977048583,-15152.449536535401,-3.0304899073070803,-2.5256080207913336,0.5269093140460157,-1.0036352052450088
VALIDATION,2.0,1.5,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,1.5,2.5,15,7,1,0.14285714285714285,0.06099545248662428,-0.8689174521787165,-1.2980194178758568,-0.3632350977048583,-15152.449536535401,-3.0304899073070803,-2.5256080207913336,0.5269093140460157,-1.0036352052450088
VALIDATION,2.0,1.5,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,3.0,1.5,15,3,1,0.3333333333333333,1.0056101683631031,0.004090320142735508,-1.0803163049731732,1.340915625074376,18.59812195200675,0.0037196243904013496,-0.539765992744325,0.8648890724580826,-0.7526383086883205
VALIDATION,2.0,3.0,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,3.0,2.0,15,3,1,0.3333333333333333,0.15919631528495132,-0.3721222509504163,-1.0803163049731732,0.21227791179492042,-2787.3262358524757,-0.5574652471704952,-0.539765992744325,0.8648890724580826,-0.7526383086883205
VALIDATION,2.0,3.0,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,3.0,2.5,15,3,1,0.3333333333333333,0.15919631528495132,-0.3721222509504163,-1.0803163049731732,0.21227791179492042,-2787.3262358524757,-0.5574652471704952,-0.539765992744325,0.8648890724580826,-0.7526383086883205
VALIDATION,2.0,3.0,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,5.0,1.5,15,3,0,0.0,0.0,-0.8436384916220557,-1.2437800384969826,-0.20681913139601135,-6317.185203251802,-1.2634370406503603,-0.6458636932129166,0.5537668686034775,-1.067769205097267
VALIDATION,2.0,5.0,1.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,5.0,2.0,15,3,0,0.0,0.0,-0.8436384916220557,-1.2437800384969826,-0.20681913139601135,-6317.185203251802,-1.2634370406503603,-0.6458636932129166,0.5537668686034775,-1.067769205097267
VALIDATION,2.0,5.0,2.0,15,0,0,0.0,,,,,0.0,0.0,0.0,,
DEV,2.0,5.0,2.5,15,3,0,0.0,0.0,-0.8436384916220557,-1.2437800384969826,-0.20681913139601135,-6317.185203251802,-1.2634370406503603,-0.6458636932129166,0.5537668686034775,-1.067769205097267
VALIDATION,2.0,5.0,2.5,15,0,0,0.0,,,,,0.0,0.0,0.0,,
