variant,split,snapshot_time,horizon_min,events,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,11:00,60,1646,0.12116486394557305,-0.026269038922744833,0.48724179829890646,0.0150675840345269,0.22535935927886883
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,11:00,120,1646,0.1200862503225815,-0.10016624040921443,0.4756986634264885,-0.019123460564368793,0.2556286989157218
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,12:00,60,1559,0.12755557454094124,-0.06436781609196798,0.4759461193072482,0.01143257549567049,0.25906774605183247
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,12:00,120,1559,0.17202271773704064,0.0,0.4939063502245029,0.012579323635777113,0.342818025522243
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,09:45,60,519,-0.048069213915856786,-0.20648967551622363,0.4527938342967245,-0.19917866236168205,0.12333081950703143
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,09:45,120,519,-0.057641602243658004,-0.28760768721006424,0.4258188824662813,-0.23233889601802588,0.13279663180938514
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,10:00,60,499,0.08510272800338693,-0.1070063694267516,0.47695390781563124,-0.06945000118248644,0.23767317163235804
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,10:00,120,499,0.15823474931221176,-0.07409040793826065,0.4789579158316633,-0.025146744168504938,0.3634270329243798
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,10:30,60,475,-0.036107006492383645,-0.12034383954152872,0.4589473684210526,-0.2080606257188952,0.14201036638870151
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,10:30,120,475,0.11036104035722397,-0.19557625145518842,0.4631578947368421,-0.10886631410454307,0.3211607818532706
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,11:00,60,461,0.05267055083385505,-0.0851581508515815,0.4772234273318872,-0.1369753491280515,0.24772656256989095
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,11:00,120,461,0.34281430476695796,0.12227074235810592,0.5097613882863341,0.07313553952141491,0.6057880802852668
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,12:00,60,385,0.20667461610540766,0.12962962962958666,0.5272727272727272,-0.013444260252304786,0.42101321492680355
TOP10_ABOVE_VWAP_RVOL_GE_1_5,VALIDATION,12:00,120,385,0.035695331201289295,-0.06194690265481242,0.4727272727272727,-0.25413702341311245,0.3281296379209823
