split,snapshot_time,cohort,events,avg_excess_vs_median_pct,avg_rvol,above_vwap_rate,horizon_min,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
DEV,12:00,TOP20,8972,1.8176648147851224,1.647420630188317,0.7976045247865143,120,0.07314022075405928,-0.027517549955915002,0.487962550156041,0.007631094405694566,0.14236334238781345
VALIDATION,09:45,TOP5,659,1.6843895522844896,3.0427639980177985,0.8892261001517451,15,-0.04791551383289959,-0.08139534883720931,0.44461305007587254,-0.11681975753199594,0.03235007456879901
VALIDATION,09:45,TOP5,659,1.6843895522844896,3.0427639980177985,0.8892261001517451,30,-0.10287729812597073,-0.08786610878661087,0.4552352048558422,-0.19107876227667564,-0.011516300808046227
VALIDATION,09:45,TOP5,659,1.6843895522844896,3.0427639980177985,0.8892261001517451,60,-0.1500073750177937,-0.2228116710874991,0.4339908952959029,-0.2815059815798241,-0.013386429178919843
VALIDATION,09:45,TOP5,659,1.6843895522844896,3.0427639980177985,0.8892261001517451,120,-0.11570039722861197,-0.21705426356589147,0.44309559939301973,-0.28005764817659246,0.0554246094335019
VALIDATION,09:45,TOP10,1284,1.355679360869624,2.41412626911458,0.8629283489096573,15,-0.022158307109380704,-0.0725953252256674,0.4532710280373832,-0.07357614300456887,0.03263518561409096
VALIDATION,09:45,TOP10,1284,1.355679360869624,2.41412626911458,0.8629283489096573,30,-0.005968956534777419,-0.07022741353664283,0.4649532710280374,-0.08920518541085565,0.07331437084865126
VALIDATION,09:45,TOP10,1284,1.355679360869624,2.41412626911458,0.8629283489096573,60,-0.027747076807525667,-0.16410718827309634,0.45716510903426794,-0.12664100061389913,0.07120991960078604
VALIDATION,09:45,TOP10,1284,1.355679360869624,2.41412626911458,0.8629283489096573,120,-0.04048230558614193,-0.1536682858908463,0.45404984423676015,-0.1660473123119903,0.07112422661704049
VALIDATION,09:45,TOP20,2535,1.0152742568811295,1.7459785493756184,0.8011834319526627,15,-0.02308357716154229,-0.07567567567569289,0.45483234714003945,-0.063505763226027,0.014512220160887391
VALIDATION,09:45,TOP20,2535,1.0152742568811295,1.7459785493756184,0.8011834319526627,30,-0.011903150308430904,-0.0999999999999659,0.45680473372781066,-0.06376583336866638,0.04369146844012601
VALIDATION,09:45,TOP20,2535,1.0152742568811295,1.7459785493756184,0.8011834319526627,60,-0.03671510029440308,-0.16018306636155757,0.45759368836291914,-0.10935387391720935,0.03786521020506631
VALIDATION,09:45,TOP20,2535,1.0152742568811295,1.7459785493756184,0.8011834319526627,120,-0.07104229971035265,-0.21341463414634176,0.4457593688362919,-0.16621673083622468,0.023152709743742398
VALIDATION,10:00,TOP5,659,1.7936629511657043,2.938554335299198,0.9030303030303031,15,-0.018926092584553505,-0.04816513761467157,0.4582701062215478,-0.09595625447019687,0.05436569957945
VALIDATION,10:00,TOP5,659,1.7936629511657043,2.938554335299198,0.9030303030303031,30,0.04480798729090082,0.0,0.48558421851289835,-0.042278994597779326,0.1362873419701833
VALIDATION,10:00,TOP5,659,1.7936629511657043,2.938554335299198,0.9030303030303031,60,0.05417933625694288,-0.1070063694267516,0.46889226100151743,-0.06382320916853129,0.17629532433856798
VALIDATION,10:00,TOP5,659,1.7936629511657043,2.938554335299198,0.9030303030303031,120,0.11635733142011635,-0.07409040793826065,0.47192716236722304,-0.03692296377953093,0.276679142086731
VALIDATION,10:00,TOP10,1283,1.4424371009157233,2.2208434049385786,0.8434579439252337,15,0.01348294791698971,-0.030042918454931032,0.4699922057677319,-0.041448292893242054,0.0664611168985578
VALIDATION,10:00,TOP10,1283,1.4424371009157233,2.2208434049385786,0.8434579439252337,30,0.05447384060583618,-0.013793103448275862,0.48402182385035075,-0.013545856440276614,0.12424482264706685
VALIDATION,10:00,TOP10,1283,1.4424371009157233,2.2208434049385786,0.8434579439252337,60,0.056083595540435835,-0.10389610389612691,0.47388932190179267,-0.025615846270619413,0.1437244404664391
VALIDATION,10:00,TOP10,1283,1.4424371009157233,2.2208434049385786,0.8434579439252337,120,0.07761977767308947,-0.0797720797720976,0.4715510522213562,-0.03475503406347092,0.18213926905079678
VALIDATION,10:00,TOP20,2534,1.0803935282306596,1.6978679482615973,0.7869822485207101,15,0.01409478869699351,-0.03797158495627875,0.46724546172059983,-0.02205074836261445,0.05148281641784758
VALIDATION,10:00,TOP20,2534,1.0803935282306596,1.6978679482615973,0.7869822485207101,30,0.03857669476769052,-0.016767332817922705,0.48263614838200475,-0.00593692298430768,0.09020562596114673
VALIDATION,10:00,TOP20,2534,1.0803935282306596,1.6978679482615973,0.7869822485207101,60,0.013448105337704339,-0.06954268592199943,0.4707971586424625,-0.04782600349152575,0.07549870905355917
VALIDATION,10:00,TOP20,2534,1.0803935282306596,1.6978679482615973,0.7869822485207101,120,0.012108163166712415,-0.12489436125987641,0.46093133385951063,-0.07222179148488178,0.0926822475365537
VALIDATION,10:30,TOP5,659,1.957828137208559,2.752756531023493,0.8984848484848484,15,-0.048631189511223284,-0.09984152139459637,0.4324734446130501,-0.12444575879335674,0.03094271344337435
VALIDATION,10:30,TOP5,659,1.957828137208559,2.752756531023493,0.8984848484848484,30,-0.010715672857408843,0.0,0.49013657056145676,-0.10728947904046837,0.09049568392207948
VALIDATION,10:30,TOP5,659,1.957828137208559,2.752756531023493,0.8984848484848484,60,0.013122155066537543,-0.0467836257310045,0.47496206373292865,-0.106236617458579,0.14491124081289644
VALIDATION,10:30,TOP5,659,1.957828137208559,2.752756531023493,0.8984848484848484,120,0.13095884109239253,-0.16944024205747868,0.4658573596358118,-0.043905867000981584,0.31318024555784424
VALIDATION,10:30,TOP10,1284,1.5814206813003895,2.1012659761133126,0.8638132295719845,15,-0.03559885863550434,-0.08522641305523462,0.4447040498442368,-0.08872598520438872,0.018189697562096464
VALIDATION,10:30,TOP10,1284,1.5814206813003895,2.1012659761133126,0.8638132295719845,30,0.023086533491705738,0.0030068728522446016,0.5,-0.04455302350065419,0.09675327729146312
VALIDATION,10:30,TOP10,1284,1.5814206813003895,2.1012659761133126,0.8638132295719845,60,0.01188555151558494,-0.04765524440796885,0.47741433021806856,-0.08025415848391719,0.11412145029698316
VALIDATION,10:30,TOP10,1284,1.5814206813003895,2.1012659761133126,0.8638132295719845,120,0.10615131315940858,-0.09195427092322792,0.48442367601246106,-0.020450560417797095,0.22098811865587972
VALIDATION,10:30,TOP20,2534,1.1880935624991031,1.6698033288438945,0.7988165680473372,15,-0.04079475361961534,-0.08366567064678658,0.44119968429360695,-0.07765977088644507,-0.0013078269626027664
VALIDATION,10:30,TOP20,2534,1.1880935624991031,1.6698033288438945,0.7988165680473372,30,0.0022492489658651796,-0.0359600112347048,0.48579321231254935,-0.050829339397915875,0.05278807644712541
VALIDATION,10:30,TOP20,2534,1.1880935624991031,1.6698033288438945,0.7988165680473372,60,-0.03410157053116801,-0.10840847137764023,0.4605367008681926,-0.09672952861794404,0.03240589451012475
