split,snapshot_time,cohort,benchmark,horizon_min,leader_events,paired_sessions,leader_session_avg_atr,benchmark_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,11:00,PERSIST_2_CONFIRMED,BOTTOM50,120,1219,405,0.0066817533995984875,-0.08510643658792515,0.09178818998752367,-0.0751683084607888,0.27206127127095237,0.5012345679012346
DEV,11:00,PERSIST_3,REST,30,2756,449,0.020450979055135435,0.025930814339600598,-0.005479835284465151,-0.07120559228401666,0.05625159477392738,0.48997772828507796
DEV,11:00,PERSIST_3,BOTTOM50,30,2756,449,0.020450979055135435,0.029919116915543966,-0.009468137860408529,-0.0754110987762411,0.063617586752629,0.4766146993318486
DEV,11:00,PERSIST_3,REST,60,2756,449,-0.034974305363328156,-0.012572729190105944,-0.022401576173222203,-0.10764616034059117,0.06389897246290549,0.49443207126948774
DEV,11:00,PERSIST_3,BOTTOM50,60,2756,449,-0.034974305363328156,-0.02694903023047302,-0.008025275132855128,-0.10137078224110979,0.08990172250319507,0.48329621380846327
DEV,11:00,PERSIST_3,REST,120,2756,449,-0.04718268900058856,-0.055807832929836994,0.008625143929248435,-0.10782526698174469,0.12633700036968518,0.48329621380846327
DEV,11:00,PERSIST_3,BOTTOM50,120,2756,449,-0.04718268900058856,-0.08289824580307732,0.03571555680248878,-0.08100271066621147,0.1549575226476175,0.5100222717149221
DEV,11:00,PERSIST_3_CONFIRMED,REST,30,953,384,0.05090165473514031,0.008728198188440929,0.042173456546699385,-0.059014820646513554,0.148716196391689,0.4895833333333333
DEV,11:00,PERSIST_3_CONFIRMED,BOTTOM50,30,953,384,0.05090165473514031,0.01255855889829507,0.038343095836845247,-0.07373891852816321,0.15469457151786012,0.5026041666666666
DEV,11:00,PERSIST_3_CONFIRMED,REST,60,953,384,-0.014627600134244266,-0.03946765430447836,0.024840054170234094,-0.1416859664309512,0.1762636570142828,0.5078125
DEV,11:00,PERSIST_3_CONFIRMED,BOTTOM50,60,953,384,-0.014627600134244266,-0.05509348566915603,0.04046588553491178,-0.12000457922442155,0.21030702620812328,0.515625
DEV,11:00,PERSIST_3_CONFIRMED,REST,120,953,384,-0.07811988006457139,-0.08233121079744674,0.004211330732875366,-0.1893877432601746,0.18935124105968582,0.4947916666666667
DEV,11:00,PERSIST_3_CONFIRMED,BOTTOM50,120,953,384,-0.07811988006457139,-0.1064210950271021,0.028301214962530696,-0.15145340320800182,0.22548876832931922,0.4947916666666667
DEV,12:00,PERSIST_1,REST,30,4510,449,0.01815312701118514,-0.0005731525746380773,0.018726279585823204,-0.038246919313851484,0.0783394098316684,0.534521158129176
DEV,12:00,PERSIST_1,BOTTOM50,30,4510,449,0.01815312701118514,0.006343531885303715,0.011809595125881417,-0.05084529058779048,0.07312121710404956,0.5055679287305123
DEV,12:00,PERSIST_1,REST,60,4510,449,0.004522985460478153,-0.07397261932800257,0.07849560478848072,0.00524671245615481,0.1551594384350268,0.5701559020044543
DEV,12:00,PERSIST_1,BOTTOM50,60,4510,449,0.004522985460478153,-0.09198481277554933,0.09650779823602747,0.015930164661089475,0.17780013187645619,0.576837416481069
DEV,12:00,PERSIST_1,REST,120,4510,449,0.08197344451918298,0.01265278697313551,0.06932065754604746,-0.04262470097977437,0.1768334118607409,0.5256124721603563
DEV,12:00,PERSIST_1,BOTTOM50,120,4510,449,0.08197344451918298,-0.016814957212518196,0.09878840173170118,-0.016016794244849704,0.2165667284162453,0.534521158129176
DEV,12:00,PERSIST_1_CONFIRMED,REST,30,1564,427,0.10205205915800422,-0.003948614186851129,0.10600067334485534,-0.0076090889078561106,0.2271205248426624,0.5292740046838408
DEV,12:00,PERSIST_1_CONFIRMED,BOTTOM50,30,1564,427,0.10205205915800422,0.0012122095371635596,0.10083984962084067,-0.02582305282452063,0.23378018343739213,0.5128805620608899
DEV,12:00,PERSIST_1_CONFIRMED,REST,60,1564,427,0.08078244361175661,-0.07603637668111474,0.15681882029287134,0.003904785493401099,0.32040205404275823,0.5362997658079626
DEV,12:00,PERSIST_1_CONFIRMED,BOTTOM50,60,1564,427,0.08078244361175661,-0.09957317773662563,0.1803556213483822,0.024289818643705705,0.36009134829466954,0.5292740046838408
DEV,12:00,PERSIST_1_CONFIRMED,REST,120,1564,427,0.1270047414651501,0.013144217315289293,0.11386052414986077,-0.08407906128237684,0.3159709111789137,0.49414519906323184
DEV,12:00,PERSIST_1_CONFIRMED,BOTTOM50,120,1564,427,0.1270047414651501,-0.02297174342888301,0.14997648489403306,-0.05492781906683454,0.3677273972668264,0.5152224824355972
DEV,12:00,PERSIST_2,REST,30,3380,449,0.01350206378166007,0.00092724835626733,0.012574815425392738,-0.04825136303992446,0.0721966920484371,0.5278396436525612
DEV,12:00,PERSIST_2,BOTTOM50,30,3380,449,0.01350206378166007,0.006343531885303715,0.0071585318963563625,-0.059983365069554276,0.074978570006019,0.49888641425389757
DEV,12:00,PERSIST_2,REST,60,3380,449,0.004495156420975794,-0.07093307229325789,0.07542822871423367,-0.010174246491327386,0.1593271815406708,0.5567928730512249
DEV,12:00,PERSIST_2,BOTTOM50,60,3380,449,0.004495156420975794,-0.09198481277554933,0.09647996919652513,0.011425743881947718,0.1843841584069986,0.5924276169265034
DEV,12:00,PERSIST_2,REST,120,3380,449,0.09013556956544347,0.015033211801086726,0.07510235776435673,-0.04976191216210602,0.18439860287528345,0.5389755011135857
DEV,12:00,PERSIST_2,BOTTOM50,120,3380,449,0.09013556956544347,-0.016814957212518196,0.10695052677796164,-0.021675268850545652,0.23353171641460882,0.5389755011135857
DEV,12:00,PERSIST_2_CONFIRMED,REST,30,1108,404,0.08851977073202638,-0.009184301629202278,0.09770407236122866,-0.030597386030193525,0.21733912141947162,0.5297029702970297
DEV,12:00,PERSIST_2_CONFIRMED,BOTTOM50,30,1108,404,0.08851977073202638,-0.004991833430463101,0.09351160416248949,-0.03281390162749231,0.21563657487597176,0.5099009900990099
DEV,12:00,PERSIST_2_CONFIRMED,REST,60,1108,404,0.035228442632907746,-0.06461701111169496,0.09984545374460271,-0.06759986589639828,0.266417042554281,0.504950495049505
DEV,12:00,PERSIST_2_CONFIRMED,BOTTOM50,60,1108,404,0.035228442632907746,-0.09235572798997246,0.12758417062288024,-0.03799885752153776,0.30550261406553925,0.5148514851485149
DEV,12:00,PERSIST_2_CONFIRMED,REST,120,1108,404,0.08413637440846533,0.042178284816314554,0.041958089592150756,-0.15935198459624314,0.24781282420126202,0.4876237623762376
DEV,12:00,PERSIST_2_CONFIRMED,BOTTOM50,120,1108,404,0.08413637440846533,0.009251952318962852,0.07488442208950245,-0.15274096376085378,0.3005292210851714,0.5123762376237624
DEV,12:00,PERSIST_3,REST,30,2806,449,0.011704470940041881,0.0010227684907358342,0.010681702449306038,-0.05269947512473726,0.07445679754137763,0.5300668151447662
DEV,12:00,PERSIST_3,BOTTOM50,30,2806,449,0.011704470940041881,0.006343531885303715,0.0053609390547381544,-0.06312508931389735,0.07359803282714723,0.512249443207127
DEV,12:00,PERSIST_3,REST,60,2806,449,0.023079712596180857,-0.07109948028933422,0.09417919288551509,0.0029224514315619914,0.1731653111445767,0.5590200445434298
DEV,12:00,PERSIST_3,BOTTOM50,60,2806,449,0.023079712596180857,-0.09198481277554933,0.11506452537173019,0.017595859677842347,0.2119455076920331,0.5634743875278396
DEV,12:00,PERSIST_3,REST,120,2806,449,0.0975569564608529,0.015291969232781562,0.08226498722807139,-0.038213466007088706,0.2086628864617105,0.5167037861915368
DEV,12:00,PERSIST_3,BOTTOM50,120,2806,449,0.0975569564608529,-0.016814957212518196,0.11437191367337113,-0.011951240983435573,0.24195317061130717,0.534521158129176
DEV,12:00,PERSIST_3_CONFIRMED,REST,30,899,378,0.13885267733129544,-0.003476450676927466,0.1423291280082229,0.016084111871034677,0.27522534400190773,0.5370370370370371
DEV,12:00,PERSIST_3_CONFIRMED,BOTTOM50,30,899,378,0.13885267733129544,0.006790898142293735,0.1320617791890017,0.0008494669087721669,0.26689579462747737,0.5264550264550265
DEV,12:00,PERSIST_3_CONFIRMED,REST,60,899,378,0.12673383980052674,-0.0327575051388502,0.15949134493937694,-0.03394387821198517,0.3548123400067715,0.5052910052910053
DEV,12:00,PERSIST_3_CONFIRMED,BOTTOM50,60,899,378,0.12673383980052674,-0.05215812420154251,0.1788919640020693,-0.01606666986502666,0.3830915856652131,0.49206349206349204
DEV,12:00,PERSIST_3_CONFIRMED,REST,120,899,378,0.21743847030429833,0.11455974383066783,0.10287872647363049,-0.1164453820231651,0.3360385691775082,0.4894179894179894
DEV,12:00,PERSIST_3_CONFIRMED,BOTTOM50,120,899,378,0.21743847030429833,0.08806715428647997,0.12937131601781834,-0.0976173595953412,0.3914402426713238,0.4973544973544973
VALIDATION,09:45,PERSIST_1,REST,30,1284,125,-0.010808641240050937,-0.02739849808615529,0.01658985684610435,-0.06111822273688791,0.09702566549163825,0.52
