split,snapshot_time,cohort,events,sessions,avg_excess_vs_median_pct,avg_rvol,above_vwap_rate,horizon_min,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
DEV,11:00,PERSIST_1_CONFIRMED,1646,425,2.726575713901863,4.331929127189598,1.0,60,0.12116486394557305,-0.026269038922744833,0.48724179829890646,0.024179910483484623,0.2192979163792893
DEV,11:00,PERSIST_1_CONFIRMED,1646,425,2.726575713901863,4.331929127189598,1.0,120,0.1200862503225815,-0.10016624040921443,0.4756986634264885,-0.00946855831590662,0.26226021904997837
DEV,11:00,PERSIST_2,3488,449,2.4326820317255553,2.196742452582184,0.8348623853211009,30,0.03363774747653784,0.0,0.48480504587155965,-0.014459613063025468,0.07978394657016775
DEV,11:00,PERSIST_2,3488,449,2.4326820317255553,2.196742452582184,0.8348623853211009,60,0.006562194753793653,-0.07134862933314733,0.47219036697247707,-0.059837812266887364,0.07195482744130474
DEV,11:00,PERSIST_2,3488,449,2.4326820317255553,2.196742452582184,0.8348623853211009,120,0.008976538124638762,-0.11103293207090709,0.4693233944954128,-0.08240156687828303,0.09533545445785405
DEV,11:00,PERSIST_2_CONFIRMED,1219,405,3.021662085883366,4.336632198246598,1.0,30,0.08768129604791283,-0.011764705882342331,0.48400328137817883,-0.002081463560930329,0.17102322123774483
DEV,11:00,PERSIST_2_CONFIRMED,1219,405,3.021662085883366,4.336632198246598,1.0,60,0.09280797015026103,0.0,0.49548810500410173,-0.014741363185073719,0.2161556257304711
DEV,11:00,PERSIST_2_CONFIRMED,1219,405,3.021662085883366,4.336632198246598,1.0,120,0.11159303344757,-0.02991452991453667,0.48236259228876127,-0.030756822067145237,0.2537593745036009
DEV,11:00,PERSIST_3,2754,449,2.571044613941546,2.2602575560604206,0.8057371096586783,30,0.0254731388303539,-0.02009688961450362,0.47893972403776325,-0.023823863721062724,0.07391031370530472
DEV,11:00,PERSIST_3,2754,449,2.571044613941546,2.2602575560604206,0.8057371096586783,60,-0.03836778282230205,-0.10124728576478009,0.46042120551924476,-0.11115600066228014,0.03748105280702565
DEV,11:00,PERSIST_3,2754,449,2.571044613941546,2.2602575560604206,0.8057371096586783,120,-0.05143245523516868,-0.1685186629961003,0.45751633986928103,-0.14950774970236766,0.04757762340308613
DEV,11:00,PERSIST_3_CONFIRMED,953,384,3.2239567235316224,4.458819622827383,1.0,30,0.08272275802789232,-0.036382536382536454,0.47639034627492133,-0.012397532772504003,0.1757656986678752
DEV,11:00,PERSIST_3_CONFIRMED,953,384,3.2239567235316224,4.458819622827383,1.0,60,0.04117030179725864,-0.050761421319797,0.4774396642182581,-0.0880041858487721,0.17536805402162534
DEV,11:00,PERSIST_3_CONFIRMED,953,384,3.2239567235316224,4.458819622827383,1.0,120,0.02283038896789881,-0.18421052631578946,0.46065057712486884,-0.1423123662734,0.19573241225328158
DEV,12:00,PERSIST_1,4486,449,2.454262707190046,2.1406982053666535,0.8515381185911726,30,0.017772349379038533,-0.04852700884275835,0.47280427998216673,-0.027861973666678017,0.06782998496555345
DEV,12:00,PERSIST_1,4486,449,2.454262707190046,2.1406982053666535,0.8515381185911726,60,0.0043327745026084516,-0.10145164301720141,0.46633972358448506,-0.06535724108012295,0.07593873872551146
DEV,12:00,PERSIST_1,4486,449,2.454262707190046,2.1406982053666535,0.8515381185911726,120,0.0816256857742451,-0.039405439595201916,0.48662505572893444,-0.010061707261936394,0.17455655909735393
DEV,12:00,PERSIST_1_CONFIRMED,1559,427,2.9580401186024945,4.314118312583845,1.0,30,0.10473545726614764,-0.04861111111112224,0.47273893521488136,0.013522287878950365,0.19240995766812508
DEV,12:00,PERSIST_1_CONFIRMED,1559,427,2.9580401186024945,4.314118312583845,1.0,60,0.1275555745409412,-0.06436781609196798,0.4759461193072482,0.009455045153207844,0.24941885434801145
DEV,12:00,PERSIST_1_CONFIRMED,1559,427,2.9580401186024945,4.314118312583845,1.0,120,0.1720227177370406,0.0,0.4939063502245029,0.018354497734423877,0.3325134838636161
DEV,12:00,PERSIST_2,3376,449,2.6578807220536285,2.113007752402391,0.8237559241706162,30,0.014019841655392365,-0.051433082341522246,0.46919431279620855,-0.03848674935066863,0.07001718797339473
DEV,12:00,PERSIST_2,3376,449,2.6578807220536285,2.113007752402391,0.8237559241706162,60,-0.0010431075811573084,-0.09460431244078171,0.46800947867298576,-0.07874294345997485,0.07136285244133105
DEV,12:00,PERSIST_2,3376,449,2.6578807220536285,2.113007752402391,0.8237559241706162,120,0.08178574668363278,-0.0558184686324516,0.4834123222748815,-0.018582850763440753,0.19685688777223603
DEV,12:00,PERSIST_2_CONFIRMED,1108,404,3.32822658393427,4.3689089040587605,1.0,30,0.11154559358761887,-0.03755526790195263,0.47382671480144406,0.016851994484273547,0.211726074492002
DEV,12:00,PERSIST_2_CONFIRMED,1108,404,3.32822658393427,4.3689089040587605,1.0,60,0.10453753728213563,-0.03465811715183577,0.48194945848375453,-0.020010145990098642,0.23764573211859208
DEV,12:00,PERSIST_2_CONFIRMED,1108,404,3.32822658393427,4.3689089040587605,1.0,120,0.15777855171339403,0.0,0.4936823104693141,-0.010446126702339556,0.3410903429815926
DEV,12:00,PERSIST_3,2802,449,2.757811375218386,2.051528177129209,0.7987152034261242,30,0.010941428609982644,-0.05032665550249694,0.46823697359029265,-0.04740428866399679,0.07364315123050026
DEV,12:00,PERSIST_3,2802,449,2.757811375218386,2.051528177129209,0.7987152034261242,60,0.014601392468102669,-0.06170216072163917,0.4739471805852962,-0.06657407908694285,0.09931970166360629
DEV,12:00,PERSIST_3,2802,449,2.757811375218386,2.051528177129209,0.7987152034261242,120,0.09277173302850768,-0.03466387198400416,0.4860813704496788,-0.02270292026643503,0.21215097327138582
DEV,12:00,PERSIST_3_CONFIRMED,899,378,3.4857834831150583,4.203243750350272,1.0,30,0.1257525593116339,-0.0313901345291195,0.4771968854282536,0.022934947157686292,0.2276990421408623
DEV,12:00,PERSIST_3_CONFIRMED,899,378,3.4857834831150583,4.203243750350272,1.0,60,0.1457931859204512,0.0,0.4938820912124583,-0.0036931077200729598,0.3133160352418336
DEV,12:00,PERSIST_3_CONFIRMED,899,378,3.4857834831150583,4.203243750350272,1.0,120,0.2111830312388729,0.0,0.4994438264738598,0.01537898535125773,0.4159307179493662
VALIDATION,09:45,PERSIST_1,1284,125,1.355679360869624,2.41412626911458,0.8629283489096573,30,-0.005968956534777421,-0.07022741353664283,0.4649532710280374,-0.08301502140240576,0.07055184836430925
VALIDATION,09:45,PERSIST_1,1284,125,1.355679360869624,2.41412626911458,0.8629283489096573,60,-0.02774707680752567,-0.16410718827309634,0.45716510903426794,-0.11609134240957991,0.07288735454472865
VALIDATION,09:45,PERSIST_1,1284,125,1.355679360869624,2.41412626911458,0.8629283489096573,120,-0.04048230558614193,-0.1536682858908463,0.45404984423676015,-0.15740489038496555,0.08389369127190625
VALIDATION,09:45,PERSIST_1_CONFIRMED,519,123,1.6071282263054947,4.375782020302036,1.0,30,-0.015621159718350068,-0.07756232686984547,0.4605009633911368,-0.13439276115130372,0.1035340115752004
VALIDATION,09:45,PERSIST_1_CONFIRMED,519,123,1.6071282263054947,4.375782020302036,1.0,60,-0.048069213915856744,-0.20648967551622363,0.4527938342967245,-0.19985501413403353,0.10692774524164197
VALIDATION,09:45,PERSIST_1_CONFIRMED,519,123,1.6071282263054947,4.375782020302036,1.0,120,-0.057641602243657955,-0.28760768721006424,0.4258188824662813,-0.24401796004846404,0.14820411679884365
VALIDATION,10:00,PERSIST_1,1283,125,1.4356625508827332,2.2208434049385786,0.8441153546375681,30,0.05447384060583619,-0.013793103448275862,0.48402182385035075,-0.01671403317419349,0.1198633514141491
VALIDATION,10:00,PERSIST_1,1283,125,1.4356625508827332,2.2208434049385786,0.8441153546375681,60,0.05608359554043584,-0.10389610389612691,0.47388932190179267,-0.031103114993622068,0.14311816699157862
VALIDATION,10:00,PERSIST_1,1283,125,1.4356625508827332,2.2208434049385786,0.8441153546375681,120,0.0776197776730895,-0.0797720797720976,0.4715510522213562,-0.03695482119218412,0.18293110350253025
VALIDATION,10:00,PERSIST_1_CONFIRMED,499,123,1.738540912667568,4.146351501709623,1.0,30,0.13154278765540478,0.03104212860312006,0.5070140280561122,0.012866120457353115,0.24960657102985365
VALIDATION,10:00,PERSIST_1_CONFIRMED,499,123,1.738540912667568,4.146351501709623,1.0,60,0.0851027280033869,-0.1070063694267516,0.47695390781563124,-0.05515995453606602,0.22570555403366013
VALIDATION,10:00,PERSIST_1_CONFIRMED,499,123,1.738540912667568,4.146351501709623,1.0,120,0.15823474931221176,-0.07409040793826065,0.4789579158316633,-0.020822749499450545,0.33967570230643057
VALIDATION,10:00,PERSIST_2,1006,125,1.5272014952036133,2.248487747043333,0.8170974155069582,30,0.0394117498178174,-0.024888908554176623,0.47713717693836977,-0.03512740957851382,0.11023572318564703
VALIDATION,10:00,PERSIST_2,1006,125,1.5272014952036133,2.248487747043333,0.8170974155069582,60,0.024201597251092,-0.10492634269035955,0.4701789264413519,-0.06935242220585171,0.1291716583467692
VALIDATION,10:00,PERSIST_2,1006,125,1.5272014952036133,2.248487747043333,0.8170974155069582,120,0.041804396692986585,-0.10591338687145685,0.4602385685884692,-0.08898445219397268,0.17010507053080132
VALIDATION,10:00,PERSIST_2_CONFIRMED,375,120,1.9030750709037263,4.29623513354093,1.0,30,0.11948112574043167,0.03163841807910332,0.5066666666666667,-0.0055511992045289464,0.263599521943471
VALIDATION,10:00,PERSIST_2_CONFIRMED,375,120,1.9030750709037263,4.29623513354093,1.0,60,0.041833414191426034,-0.1284403669724697,0.47733333333333333,-0.12071634474793058,0.21898646872273256
VALIDATION,10:00,PERSIST_2_CONFIRMED,375,120,1.9030750709037263,4.29623513354093,1.0,120,0.13273511864219903,-0.0820793433652531,0.4666666666666667,-0.05305594674933322,0.3475367273740213
VALIDATION,10:30,PERSIST_1,1284,125,1.5773088061014156,2.1012659761133126,0.8644859813084113,30,0.023086533491705762,0.0030068728522446016,0.5,-0.04434231370233205,0.09642632237294162
VALIDATION,10:30,PERSIST_1,1284,125,1.5773088061014156,2.1012659761133126,0.8644859813084113,60,0.01188555151558494,-0.04765524440796885,0.47741433021806856,-0.0872620104046283,0.11275452281058736
