split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,30,12,12,-0.0992419558726962,0.6850816228033478,-0.784323578676044,-0.7843235786760441,-1.5154009389430365,0.022657239253190173,0.25
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,60,12,12,-0.4456781973441239,0.5597947421001036,-1.0054729394442277,-1.0054729394442277,-1.7948146034009154,-0.21945364651748225,0.08333333333333333
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,120,12,12,0.09545039717456115,0.5654712025147787,-0.4700208053402175,-0.4700208053402175,-1.088672752657042,0.18889655395668098,0.3333333333333333
VALIDATION,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,30,11,11,0.21642222159241908,1.0335471827488572,-0.8171249611564382,-0.8171249611564381,-1.3797732584787663,-0.19734424450428306,0.18181818181818182
VALIDATION,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,60,11,11,0.1305409102748717,1.02558028875977,-0.8950393784848983,-0.8950393784848981,-1.2330162268091955,-0.5572800184214389,0.09090909090909091
VALIDATION,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,120,11,11,0.25401627369140234,1.1979272673090808,-0.9439109936176787,-0.9439109936176788,-1.6116015786988405,-0.25005146255779065,0.09090909090909091
VALIDATION,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,30,30,27,0.1599365377129575,0.7946082670460538,-0.6346717293330963,-0.6651232162475125,-1.2641094998005509,-0.049260328864402014,0.3333333333333333
VALIDATION,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,60,30,27,-0.19225638281259674,0.6452899633447053,-0.8375463461573023,-0.8326556093396019,-1.1899521660723207,-0.48952893385717944,0.14814814814814814
VALIDATION,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,120,30,27,0.00996640006441137,0.5470972238001679,-0.5371308237357565,-0.5167517413647426,-0.9316969634942761,-0.05095193746146007,0.3333333333333333
VALIDATION,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,30,25,25,-0.12890866516215496,0.834274194110297,-0.963182859272452,-0.963182859272452,-1.3495641461053713,-0.545387000989103,0.2
VALIDATION,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,60,25,25,-0.1626968712749639,0.7915840681776072,-0.9542809394525711,-0.9542809394525711,-1.2901571988855494,-0.6273073604134182,0.08
VALIDATION,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,120,25,25,-0.24701993607210496,0.6507730989705095,-0.8977930350426143,-0.8977930350426145,-1.4235707055915365,-0.3503893440384797,0.08
VALIDATION,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,30,13,13,0.2685251402450938,0.9476761503298774,-0.6791510100847837,-0.6791510100847837,-1.3487897065326167,0.08412057340424775,0.23076923076923078
VALIDATION,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,60,13,13,0.06587101098968094,0.9386256754559028,-0.872754664466222,-0.872754664466222,-1.7123663327090533,0.11017648618818573,0.15384615384615385
VALIDATION,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,120,13,13,0.07660971493340618,0.9888014123481847,-0.9121916974147785,-0.9121916974147788,-1.3918863426388743,-0.45926277025627216,0.15384615384615385
VALIDATION,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,30,10,10,0.2942549000553159,0.88208633375638,-0.5878314337010643,-0.5878314337010644,-1.3085265598255662,0.22943846517919966,0.2
VALIDATION,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,60,10,10,0.222636829956395,1.1240300455508363,-0.9013932155944412,-0.9013932155944413,-1.2419296020674677,-0.5785611452618892,0.1
VALIDATION,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,120,10,10,0.9439030001789745,1.4295671915979191,-0.48566419141894446,-0.48566419141894457,-1.1553370531713438,0.22498311357443185,0.3
VALIDATION,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,30,40,34,0.061073634855627466,0.7583346544190491,-0.6972610195634216,-0.7085347778305646,-1.103623448493915,-0.3253737902934987,0.29411764705882354
VALIDATION,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,60,40,34,-0.10150075927312781,0.6863435321269961,-0.787844291400124,-0.8008509351647435,-1.2094688770414344,-0.428190441405587,0.20588235294117646
VALIDATION,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,120,40,34,0.19091976047201306,0.9478689468244731,-0.75694918635246,-0.7616274300629207,-1.1049984853658306,-0.4438809487086354,0.20588235294117646
VALIDATION,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,30,37,30,-0.27417060011056665,0.6930653502637908,-0.9672359503743575,-0.9578929076733667,-1.2883675519453996,-0.5849773529100873,0.1
VALIDATION,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,60,37,30,-0.4984990880548696,0.5727855054719897,-1.0712845935268593,-1.034833176756689,-1.4234808135405967,-0.6976492929744649,0.13333333333333333
VALIDATION,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,120,37,30,-0.31944809644999916,0.41697450022444216,-0.7364225966744412,-0.6560308638190154,-1.1441818756008115,-0.11567042941732922,0.26666666666666666
