split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,120,395,280,0.22644698714156705,1.0454450573343907,-0.8189980701928237,-0.8393713282834645,-0.9837473415488861,-0.6984193356254309,0.15714285714285714
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,30,128,128,-0.007830172807650991,0.618574156038758,-0.626404328846409,-0.626404328846409,-0.7869801203481023,-0.4733344841824568,0.21875
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,60,128,128,0.050108536101487244,0.7309795027346886,-0.6808709666332013,-0.6808709666332013,-0.8657776656088849,-0.5042783749364019,0.1875
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,120,128,128,-0.0999820168073755,0.572959242389359,-0.6729412591967345,-0.6729412591967346,-0.8398717518756335,-0.48423575495111765,0.2421875
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,30,117,117,0.030781290903620386,0.853260953530337,-0.8224796626267167,-0.8224796626267167,-1.040060295659073,-0.5986573253743038,0.23076923076923078
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,60,117,117,-0.08562748934564249,0.7760988044362768,-0.8617262937819191,-0.861726293781919,-1.133178135834706,-0.5625914373760115,0.24786324786324787
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,120,117,117,-0.19106195051354832,0.5648140818266658,-0.7558760323402139,-0.755876032340214,-0.9458689678246667,-0.5786886054573993,0.18803418803418803
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,30,372,258,0.05996771434021242,0.7188846549799601,-0.6589169406397477,-0.6529775500699773,-0.7834518686956038,-0.5153906083082102,0.19767441860465115
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,60,372,258,-0.017839474873692876,0.7921814582540145,-0.8100209331277072,-0.8220208637291591,-0.9462356717925376,-0.6985744932278168,0.16279069767441862
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,120,372,258,0.00011606832732618909,0.6708697680632363,-0.6707536997359101,-0.7073513414746525,-0.8412433303877511,-0.5702200641923372,0.19767441860465115
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,30,371,267,0.07488880184070572,0.7976043074367118,-0.7227155055960062,-0.793011368172388,-0.9324626460767689,-0.6614917759591825,0.19850187265917604
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,60,371,267,0.019854608558592435,0.7939975177621574,-0.7741429092035651,-0.8063264017228142,-0.9521530192844931,-0.6691539462666751,0.20599250936329588
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,120,371,267,0.07561311288982255,0.7826718810386077,-0.7070587681487853,-0.7085320596802825,-0.8356534234029971,-0.571035031990291,0.18726591760299627
VALIDATION,FULL_4,1,10:30,PULLBACK_NEW_HIGH,30,34,34,-0.5292759398817641,0.5974226469446032,-1.1266985868263675,-1.1266985868263675,-1.5108665609557477,-0.7595474803311866,0.08823529411764706
VALIDATION,FULL_4,1,10:30,PULLBACK_NEW_HIGH,60,34,34,-0.48754635906804833,0.4168393271212145,-0.9043856861892627,-0.9043856861892628,-1.2769619334384417,-0.5340169365662777,0.20588235294117646
VALIDATION,FULL_4,1,10:30,PULLBACK_NEW_HIGH,120,34,34,-0.5127650507776018,0.2689734533258177,-0.7817385041034196,-0.7817385041034196,-1.1224013229558905,-0.4519002289550438,0.17647058823529413
VALIDATION,FULL_4,1,11:00,PULLBACK_NEW_HIGH,30,34,34,0.5068244017808443,1.394197052684662,-0.8873726509038177,-0.8873726509038177,-1.314826106667146,-0.4603563262038963,0.20588235294117646
VALIDATION,FULL_4,1,11:00,PULLBACK_NEW_HIGH,60,34,34,0.9947265043316058,1.7977559414184414,-0.8030294370868353,-0.8030294370868354,-1.2504708680093917,-0.305974211813544,0.2647058823529412
VALIDATION,FULL_4,1,11:00,PULLBACK_NEW_HIGH,120,34,34,1.215922261811011,2.509189676631848,-1.2932674148208365,-1.2932674148208365,-1.8179698454202167,-0.8298592939555889,0.17647058823529413
VALIDATION,FULL_4,3,10:30,PULLBACK_NEW_HIGH,30,108,75,-0.04026262947500677,0.800860903900867,-0.841123533375874,-0.83289868264072,-1.0636837794773517,-0.5877043060823087,0.21333333333333335
VALIDATION,FULL_4,3,10:30,PULLBACK_NEW_HIGH,60,108,75,-0.04766889041756456,0.7374347479974815,-0.7851036384150459,-0.7487933140415535,-0.9657970237069367,-0.537671960130754,0.22666666666666666
VALIDATION,FULL_4,3,10:30,PULLBACK_NEW_HIGH,120,108,75,0.0690460669384302,0.802672021347636,-0.7336259544092061,-0.7746571438443434,-1.0042534562830017,-0.55165755776041,0.2
VALIDATION,FULL_4,3,11:00,PULLBACK_NEW_HIGH,30,99,75,0.19252307213098568,1.0948632697565335,-0.9023401976255476,-0.9183880400526029,-1.1941618807131884,-0.6668843065426256,0.17333333333333334
VALIDATION,FULL_4,3,11:00,PULLBACK_NEW_HIGH,60,99,75,0.317753425468591,1.1664929237733626,-0.8487394983047714,-0.96778682178752,-1.2312054742619338,-0.7148414270916065,0.18666666666666668
VALIDATION,FULL_4,3,11:00,PULLBACK_NEW_HIGH,120,99,75,0.42801581869640054,1.5178337613773387,-1.0898179426809385,-1.1038704496332852,-1.416823591042439,-0.796741906748244,0.10666666666666667
VALIDATION,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,30,29,29,-0.07505130590622827,1.1400946264946534,-1.2151459324008818,-1.2151459324008818,-1.7133815578063687,-0.770794600400015,0.20689655172413793
VALIDATION,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,60,29,29,-0.41335915803083917,0.5979588526638429,-1.011318010694682,-1.011318010694682,-1.3967118020923914,-0.6223537484334561,0.06896551724137931
VALIDATION,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,120,29,29,-0.3345687150416299,0.5245731347134679,-0.8591418497550976,-0.8591418497550977,-1.2619049687016048,-0.47853545418681415,0.20689655172413793
VALIDATION,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,30,37,37,0.17530581756293326,0.7873865019896481,-0.6120806844267147,-0.6120806844267148,-0.9779648800059201,-0.2862584828456727,0.21621621621621623
VALIDATION,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,60,37,37,0.33662133699849706,1.0866583093136157,-0.7500369723151188,-0.7500369723151188,-1.0362786228016658,-0.4451726309737161,0.1891891891891892
VALIDATION,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,120,37,37,0.40261487764973636,1.2285579461453586,-0.8259430684956218,-0.8259430684956219,-1.1006977900636148,-0.5272269416053671,0.1891891891891892
VALIDATION,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,30,92,67,-0.07162403068432292,0.7808053911168749,-0.8524294218011981,-0.7803929809362424,-1.0433411139334567,-0.5468849846104158,0.208955223880597
VALIDATION,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,60,92,67,-0.17332287869272364,0.6086818221712467,-0.7820047008639703,-0.7399389226777399,-0.9555342977597412,-0.4975411527405954,0.1791044776119403
VALIDATION,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,120,92,67,-0.049729993176221406,0.711707212237046,-0.7614372054132675,-0.7982541566554103,-1.0312608544437025,-0.6036709949085165,0.16417910447761194
VALIDATION,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,30,105,76,0.07460270513646795,0.8464963358118143,-0.7718936306753463,-0.8213581283705217,-1.0572139602559565,-0.5770393079153944,0.19736842105263158
VALIDATION,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,60,105,76,0.14860969153879625,0.9665673369100453,-0.8179576453712489,-0.8644818880608474,-1.1170510016024366,-0.6164191758580051,0.14473684210526316
