split,score_family,top_k,snapshot_time,entry_variant,horizon_min,candidates,triggered,trigger_rate,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,avg_mfe_atr,avg_mae_atr,avg_entry_delay_min,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,FULL_4,3,11:00,IMMEDIATE,30,1317,1317,1.0,1316,439,0.038718103245768694,-0.09940842324625329,0.45972644376899696,1.2117150055396113,-1.1322621680482678,5.0,0.03884518471366646,-0.05504700947951214,0.1336513499714475
DEV,FULL_4,3,11:00,IMMEDIATE,60,1317,1317,1.0,1316,439,0.03430817059887983,-0.09437826941522134,0.4696048632218845,1.6307304995445124,-1.4996426549971047,5.0,0.034489479470571405,-0.10032122538153661,0.16822151944015673
DEV,FULL_4,3,11:00,IMMEDIATE,120,1317,1317,1.0,1316,439,0.04830540219382393,-0.2344343666017903,0.4635258358662614,2.186988855839841,-2.0157718430932396,5.0,0.04862457135167,-0.13058317290494031,0.22499489152439667
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,30,1317,395,0.2999240698557327,395,280,0.033172677630163495,-0.09859154929579714,0.4506329113924051,1.3709671235518333,-1.2507567541276399,22.341772151898734,-0.049290245816329153,-0.2427050180236149,0.14809628431778715
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,60,1317,395,0.2999240698557327,395,280,0.051868548161997326,-0.058236272878534764,0.4835443037974684,1.8681010551514228,-1.6305656664448134,22.341772151898734,-0.028639651615476762,-0.30419521627800344,0.2520094849872762
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,120,1317,395,0.2999240698557327,395,280,0.22644698714156705,-0.05182755388941875,0.48860759493670886,2.5581756453649875,-2.1190461056139434,22.341772151898734,0.1349463841193636,-0.23203221891892845,0.5204342144245352
DEV,FULL_4,3,11:00,VWAP_RECLAIM,30,1317,198,0.15034168564920272,198,154,0.027558062204961455,-0.006213980000888917,0.5,1.1028325479958265,-1.1156530279064187,22.32323232323232,-0.024941355382745015,-0.2674475612174841,0.1968219439270627
DEV,FULL_4,3,11:00,VWAP_RECLAIM,60,1317,198,0.15034168564920272,198,154,-0.09790062428810328,-0.1719857832655712,0.4494949494949495,1.5232915555565907,-1.575993728709781,22.32323232323232,-0.14540916197054982,-0.4635591696557143,0.17332028843120606
DEV,FULL_4,3,11:00,VWAP_RECLAIM,120,1317,198,0.15034168564920272,198,154,-0.4015953949756402,-0.1560221717772135,0.4393939393939394,1.9556408387478876,-2.276746988119651,22.32323232323232,-0.4876384082655665,-0.9648100054587266,0.0036163233323547586
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,30,449,58,0.1291759465478842,58,58,0.06326049108538542,-0.12885252834731487,0.46551724137931033,1.2433168781316633,-1.1263119041141734,29.224137931034484,0.06326049108538549,-0.33783426614260303,0.5906627838851984
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,60,449,58,0.1291759465478842,58,58,0.06884119772292865,0.054763000460187485,0.5,1.5745322514370974,-1.430747445569735,29.224137931034484,0.06884119772292867,-0.4098799425511148,0.593999489265702
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,120,449,58,0.1291759465478842,58,58,-0.23422252423161505,0.010864718298070106,0.5,1.8947686937501387,-1.9507740241812483,29.224137931034484,-0.234222524231615,-0.8557042195703982,0.3711376190397134
DEV,MOMENTUM_ONLY,1,10:30,IMMEDIATE,30,449,449,1.0,447,447,0.08426021216449048,0.05570291777187512,0.5167785234899329,1.0726073774049627,-0.9408108295537317,5.0,0.08426021216449048,-0.026081737925462055,0.19707720373951157
DEV,MOMENTUM_ONLY,1,10:30,IMMEDIATE,60,449,449,1.0,447,447,0.12956879273307265,0.07894736842105586,0.5257270693512305,1.4090940574587332,-1.2115926050310526,5.0,0.12956879273307265,-0.02996223775031685,0.30231585504306985
DEV,MOMENTUM_ONLY,1,10:30,IMMEDIATE,120,449,449,1.0,447,447,-0.014946265610684475,-0.07815407517677793,0.4720357941834452,1.7442010944607613,-1.5967175965222833,5.0,-0.01494626561068447,-0.2172558430275459,0.18035636204482067
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,30,449,128,0.28507795100222716,128,128,-0.007830172807650991,0.0,0.484375,1.0522568942108497,-1.0915110262150791,22.96875,-0.00783017280765097,-0.2217426149733079,0.22599441344209767
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,60,449,128,0.28507795100222716,128,128,0.050108536101487244,0.045751633986938475,0.5,1.4211821550592048,-1.353066414405035,22.96875,0.05010853610148727,-0.22547964610173452,0.311894847938496
DEV,MOMENTUM_ONLY,1,10:30,PULLBACK_NEW_HIGH,120,449,128,0.28507795100222716,128,128,-0.0999820168073755,-0.06073080235599602,0.4921875,1.8207191601772643,-1.9293221418669417,22.96875,-0.0999820168073755,-0.5117343871092488,0.29761640153381186
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,30,449,86,0.1915367483296214,86,86,0.2310599317133447,0.1613116130402638,0.5581395348837209,1.1799757787377254,-0.8863363235045573,20.988372093023255,0.2310599317133447,-0.08528871109051286,0.5607757590433256
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,60,449,86,0.1915367483296214,86,86,0.016616660097494313,-0.03337870538414593,0.47674418604651164,1.4548430497225993,-1.1992805858123792,20.988372093023255,0.016616660097494292,-0.3602184820318398,0.376561331669341
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,120,449,86,0.1915367483296214,86,86,-0.12707343616593134,0.1516990913836847,0.5348837209302325,1.8470867893854912,-1.903545309305916,20.988372093023255,-0.1270734361659314,-0.666582622174808,0.3743890215739627
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,30,449,32,0.07126948775055679,32,32,-0.0822993822194224,-0.1759536058936305,0.40625,1.2209140154570026,-1.0755633491797139,29.375,-0.08229938221942243,-0.5386356212028808,0.4790424795591045
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,60,449,32,0.07126948775055679,32,32,-0.13322345535700097,-0.3122775126865093,0.40625,1.6075229922530614,-1.4922002545224553,29.375,-0.133223455357001,-0.6905232960658579,0.4491997017867277
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,120,449,32,0.07126948775055679,32,32,-0.0845289292149819,-0.394881499504384,0.375,2.229428978295007,-1.9272768162401142,29.375,-0.08452892921498184,-0.8219827906575312,0.7998008177954833
