split,confirmation,exit_mode,horizon_min,trades,win_rate,gross_expectancy_r,net_expectancy_r,net_ci_low,net_ci_high,avg_net_pct_1l,avg_net_pnl_1l,median_net_pnl_1l,avg_charges_1l,stop_rate
DEV,ABOVE_OR_VWAP,TIME,60,445,0.42696629213483145,0.10367197452734858,-0.06582794798536594,-0.20695656786291441,0.08460616393105501,-0.02102480968942613,-21.024809689426142,-64.522785072845,69.91798076808627,0.0
DEV,ABOVE_OR_VWAP,TIME,120,413,0.46731234866828086,0.16312833858983058,-0.0004231460453490947,-0.21118083123585205,0.23441445032753877,0.00062961502353098,0.6296150235309954,-86.3043986786125,69.07165595710667,0.0
DEV,DELAY_ONLY,STOP1R_TIME,30,520,0.3557692307692308,-0.07233809767441512,-0.24106624786811537,-0.32767167991573,-0.1473724531481111,-0.0952163100045477,-95.2163100045477,-166.477144408676,69.67306571407612,0.3019230769230769
DEV,DELAY_ONLY,STOP1R_TIME,60,506,0.35968379446640314,-0.02212200504791979,-0.18885499609017023,-0.29679235892397443,-0.060346652598305205,-0.07407423086940591,-74.07423086940592,-231.27113939656186,69.33415845619244,0.40711462450592883
DEV,DELAY_ONLY,STOP1R_TIME,120,471,0.35456475583864117,-0.031874705393665284,-0.19274414237820336,-0.32518018645015917,-0.05156905496981082,-0.07859048811294507,-78.59048811294508,-410.0114430071816,68.47488379868868,0.5095541401273885
DEV,DELAY_ONLY,TIME,30,520,0.3769230769230769,-0.053332801112597396,-0.22206560925499472,-0.31911474664734385,-0.13067541550010675,-0.08455446889262527,-84.55446889262527,-134.26243961717103,69.67583065224922,0.0
DEV,DELAY_ONLY,TIME,60,506,0.40711462450592883,0.01610046933855011,-0.15064058678780504,-0.2769119240260791,-0.011328243998638396,-0.059746083917432934,-59.746083917432934,-124.69090840485964,69.33698888779706,0.0
DEV,DELAY_ONLY,TIME,120,471,0.44798301486199577,0.07093551949101698,-0.08995591704780782,-0.2748777303175128,0.10505202234567285,-0.04021995913287379,-40.21995913287378,-119.5922022923201,68.48249365517489,0.0
VALIDATION,ABOVE_OR,STOP1R_TIME,30,111,0.44144144144144143,0.06937339716347027,-0.10035553228858245,-0.2960431181605248,0.08760259702292225,-0.017933785670309083,-17.933785670309092,-64.05945129250169,71.44198868770782,0.24324324324324326
VALIDATION,ABOVE_OR,STOP1R_TIME,60,109,0.45871559633027525,0.1279703672367036,-0.04097118427312863,-0.24185369310470547,0.17984696529192334,0.00535323930412812,5.35323930412811,-34.75531140926121,71.25379596129575,0.27522935779816515
VALIDATION,ABOVE_OR,STOP1R_TIME,120,108,0.4074074074074074,0.17605613196691067,0.007034404646325102,-0.28139903827797225,0.32057913518425285,0.018896270484913383,18.896270484913387,-116.11139253609718,71.17367665376449,0.37037037037037035
VALIDATION,ABOVE_OR,TIME,30,111,0.46846846846846846,0.06366173791550352,-0.10606909717939549,-0.32259560114116903,0.10300754080413878,-0.016453508955996992,-16.45350895599699,-30.89779081856352,71.44400652357339,0.0
VALIDATION,ABOVE_OR,TIME,60,109,0.4954128440366973,0.0739914778356816,-0.09493422289017762,-0.3729149083449692,0.16826999612738194,-0.012258863202639286,-12.258863202639285,-4.177118402060287,71.24842723934509,0.0
